,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.009999999999,0.0019999999998,0.0044721359545523654
sanity.nearest_syn_neighbor_distance.mean,0.44642063298124446,0.7264950442277585,0.558586237515637,0.10577102695853635
sanity.close_values_probability.score,0.01,0.08,0.05600000000000001,0.027928480087537885
sanity.distant_values_probability.score,0.02,0.47,0.192,0.1688786546606764
stats.jensenshannon_dist.marginal,0.01305651922695684,0.016037487111715352,0.014473766518549059,0.0013016266461997501
stats.chi_squared_test.marginal,0.9852756962444185,0.9958983396086973,0.9918908733051696,0.0042306729845152605
stats.inv_kl_divergence.marginal,0.9877041441875956,0.9938274414262435,0.9907480451280172,0.0027686654993470876
stats.ks_test.marginal,0.9244444444444445,0.9377777777777777,0.9306666666666666,0.006116159530899032
stats.max_mean_discrepancy.joint,0.01971467607782877,0.020098772316669875,0.019897701416370428,0.0001684545864644923
stats.wasserstein_dist.joint,0.37906816680171096,0.39903087173933627,0.38913306592550667,0.008286698577731065
stats.alpha_precision.delta_precision_alpha_OC,0.3646666666666666,0.43333333333333335,0.4005333333333333,0.031092692960815682
stats.alpha_precision.delta_coverage_beta_OC,0.18933333333333335,0.4106666666666666,0.2890528735632184,0.08014562053835753
stats.alpha_precision.authenticity_OC,0.52,0.64,0.5740000000000001,0.051283525619832335
stats.alpha_precision.delta_precision_alpha_naive,0.915080459770115,0.9563908045977011,0.9361011494252873,0.018885673799416643
stats.alpha_precision.delta_coverage_beta_naive,0.4726666666666667,0.6745977011494253,0.5870114942528736,0.0843825741109011
stats.alpha_precision.authenticity_naive,0.39,0.43,0.41,0.015811388300841885
stats.prdc.precision,0.95,0.99,0.968,0.016431676725154998
stats.prdc.recall,0.94,1.0,0.976,0.023021728866442697
stats.prdc.density,0.674,0.762,0.7100000000000001,0.03535533905932736
stats.prdc.coverage,0.91,0.95,0.9339999999999999,0.01816590212458491
performance.linear_model.gt,0.9414999999999999,0.9414999999999999,0.9414999999999999,0.0
performance.linear_model.syn_id,0.45215625,0.645671875,0.574984375,0.07247553634945123
performance.linear_model.syn_ood,0.4545,0.643,0.5749000000000001,0.07081194284864664
performance.mlp.gt,0.683203125,0.683203125,0.683203125,0.0
performance.mlp.syn_id,0.48828125,0.537890625,0.5106640624999998,0.018096522617878117
performance.mlp.syn_ood,0.4575,0.61875,0.5442500000000001,0.07036511919978534
performance.xgb.gt,0.977,0.977,0.977,0.0
performance.xgb.syn_id,0.4843125,0.6245624999999999,0.55380625,0.05085005506964506
performance.xgb.syn_ood,0.47474999999999995,0.6285000000000001,0.5536000000000001,0.05550045044862252
performance.feat_rank_distance.corr,0.0052332038389834535,0.21921309414408469,0.07780029707288735,0.0915348150242358
performance.feat_rank_distance.pvalue,0.015523334230234016,0.9539315941172024,0.5547526633914686,0.42532028888868084
detection.detection_xgb.mean,0.5694999999999999,0.635,0.6194,0.028223217392777937
detection.detection_mlp.mean,0.5200000000000001,0.53525,0.5270499999999999,0.007461149375263802
detection.detection_gmm.mean,0.44325000000000003,0.516,0.47969999999999996,0.029392494790337207
detection.detection_linear.mean,0.4405,0.564,0.5019,0.04483218709811064
privacy.delta-presence.score,1.8888888867901232,2.49999999375,2.157777774081358,0.2728903348500996
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0
privacy.k-anonymization.syn,4.00000001,7.00000001,5.40000001,1.1401754250991378
privacy.k-map.score,4.0,6.0,5.0,0.7071067811865476
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0
privacy.distinct l-diversity.syn,4.00000001,7.00000001,5.40000001,1.1401754250991378
privacy.identifiability_score.,0.37,0.42,0.40199999999999997,0.019235384061671336
privacy.identifiability_score._privacy.identifiability_score.OC,0.16,0.26,0.21800000000000003,0.044944410108488465
