,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.4605031907629366,0.5489292082816032,0.5048724911508616,0.035931247578067295
sanity.close_values_probability.score,0.05,0.16,0.088,0.047116875957558986
sanity.distant_values_probability.score,0.04,0.14,0.098,0.037682887362833546
stats.jensenshannon_dist.marginal,0.08621315962267669,0.0918983884386183,0.0894436572122422,0.0025861409013225195
stats.chi_squared_test.marginal,0.27825845081605416,0.39665329839649893,0.3327619625270471,0.05578560503254024
stats.inv_kl_divergence.marginal,0.5517181948379088,0.6333633967219175,0.6011652272319965,0.03434964435297577
stats.ks_test.marginal,0.5399999999999999,0.578888888888889,0.558,0.016747949939037176
stats.max_mean_discrepancy.joint,0.14137749626703322,0.19660655825575835,0.1689772192032714,0.024234017247053312
stats.wasserstein_dist.joint,0.8438711094349658,0.9446479521264823,0.8901317944747253,0.044340155209976605
stats.alpha_precision.delta_precision_alpha_OC,0.06733333333333336,0.7906666666666666,0.6001333333333333,0.29980786439911067
stats.alpha_precision.delta_coverage_beta_OC,0.10999999999999999,0.267264367816092,0.17451954022988508,0.06515452449645862
stats.alpha_precision.authenticity_OC,0.68,0.84,0.7740000000000001,0.06387487769068524
stats.alpha_precision.delta_precision_alpha_naive,0.7259310344827588,0.771264367816092,0.7517977011494252,0.019104391583554182
stats.alpha_precision.delta_coverage_beta_naive,0.2460000000000001,0.47326436781609194,0.32170574712643685,0.0920413111566747
stats.alpha_precision.authenticity_naive,0.62,0.79,0.71,0.06041522986797287
stats.prdc.precision,0.96,1.0,0.986,0.016733200530681527
stats.prdc.recall,0.53,0.83,0.66,0.14247806848775005
stats.prdc.density,0.6120000000000001,0.684,0.6372000000000001,0.029651306885194777
stats.prdc.coverage,0.42,0.61,0.514,0.07602631123499286
performance.linear_model.gt,0.9414999999999999,0.9414999999999999,0.9414999999999999,0.0
performance.linear_model.syn_id,0.5307031249999999,0.6214999999999999,0.57500625,0.03573237928948336
performance.linear_model.syn_ood,0.5337500000000001,0.62675,0.57645,0.036334126520394014
performance.mlp.gt,0.683203125,0.683203125,0.683203125,0.0
performance.mlp.syn_id,0.49296875,0.5134765625,0.5014843750000001,0.009320520416268503
performance.mlp.syn_ood,0.48125,0.550625,0.51775,0.029668085757257757
performance.xgb.gt,0.977,0.977,0.977,0.0
performance.xgb.syn_id,0.427703125,0.566796875,0.5110531249999999,0.05375871749801373
performance.xgb.syn_ood,0.43525,0.5705,0.51395,0.05175223425128618
performance.feat_rank_distance.corr,-0.06925329821842144,0.2859854753942926,0.17186874654984638,0.14513851504749437
performance.feat_rank_distance.pvalue,0.001621236357586414,0.4449290156546253,0.11054231326331672,0.1894708058339711
detection.detection_xgb.mean,0.9504999999999999,0.9862500000000001,0.96745,0.016302223774687947
detection.detection_mlp.mean,0.8627499999999999,0.9427499999999999,0.9033499999999999,0.03320796214765368
detection.detection_gmm.mean,0.409,0.6220000000000001,0.54045,0.09214058552017133
detection.detection_linear.mean,0.9339999999999999,0.9640000000000001,0.9474,0.01500583219951501
privacy.delta-presence.score,6.999999930000001,16.999999830000004,12.599999874000002,4.393176483365995
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.identifiability_score.,0.12,0.18,0.15,0.025495097567963927
privacy.identifiability_score._privacy.identifiability_score.OC,0.1,0.17,0.134,0.026076809620810597
