,parents,has_nurs,form,children,housing,finance,social,health,target
52,2,2,2,0,0,0,0,2,1
270,2,3,1,2,1,0,1,1,2
87,1,3,2,2,1,0,1,2,1
91,0,2,3,0,0,1,0,0,0
348,0,0,1,1,0,0,0,2,1
417,0,2,3,0,1,0,0,1,1
232,2,3,2,0,2,0,0,1,1
181,2,2,2,0,2,0,0,0,0
26,0,0,3,0,1,0,2,1,0
54,0,3,1,1,2,0,2,2,1
36,1,0,0,2,0,0,1,2,1
317,1,0,0,1,0,1,0,0,0
400,1,3,1,1,1,0,1,1,2
309,0,4,3,1,0,1,0,0,0
441,0,3,0,2,0,1,1,2,2
231,1,1,3,2,0,1,1,2,1
335,1,1,2,2,1,1,0,2,1
294,2,0,2,3,2,0,1,1,2
328,2,2,0,1,0,0,1,2,1
235,2,4,0,2,0,0,1,0,1
458,2,4,1,1,1,0,1,2,1
196,0,2,0,0,1,0,1,0,0
136,1,4,0,1,1,1,1,1,2
103,1,4,0,1,0,0,1,0,0
397,1,3,3,3,2,1,0,1,1
263,1,4,2,0,1,1,0,0,0
379,1,1,0,0,2,1,0,2,1
378,0,2,2,3,1,0,1,0,0
470,1,3,0,2,1,0,1,2,0
88,2,1,3,3,0,1,0,0,0
198,1,1,0,1,1,0,0,0,0
188,0,1,0,0,1,1,1,2,1
156,1,3,1,0,0,0,2,2,1
168,1,2,0,0,2,1,1,2,0
31,2,3,0,3,1,0,1,2,1
230,0,2,0,1,1,1,0,0,0
422,2,0,0,3,1,1,2,0,1
405,0,1,0,3,1,1,0,1,2
182,0,3,0,1,0,1,1,2,1
375,0,3,0,0,0,1,2,0,0
457,0,0,2,3,0,1,2,0,0
365,1,2,0,2,2,1,0,1,1
343,2,0,2,0,1,0,2,1,1
456,1,3,1,0,2,0,0,1,2
253,1,2,1,1,2,0,1,1,1
68,2,3,1,0,0,0,1,0,0
247,2,3,3,3,0,1,0,1,1
164,1,2,1,2,0,1,0,0,0
227,1,2,2,0,1,1,2,1,1
179,1,4,0,3,1,0,2,1,2
372,2,0,1,0,2,1,1,1,1
380,1,2,1,1,1,1,2,1,2
134,1,1,1,0,1,1,2,2,2
125,1,1,2,3,2,1,2,0,0
337,2,3,0,1,1,0,0,2,1
482,2,0,2,1,0,0,2,1,0
433,2,1,0,3,1,1,0,0,0
184,1,4,1,0,1,0,0,0,0
411,2,1,2,0,0,0,2,1,2
439,2,4,3,3,1,1,1,0,2
47,2,2,2,2,1,0,2,1,0
280,1,2,1,1,1,0,1,0,1
10,0,1,2,1,1,1,1,2,2
325,2,3,0,2,0,1,1,2,1
71,0,2,2,0,1,1,1,0,0
442,2,1,3,1,2,0,1,0,0
133,0,2,2,3,0,0,0,1,0
240,0,2,1,2,1,1,1,0,1
162,2,1,3,3,2,1,0,2,2
389,1,4,3,2,1,1,0,0,2
93,1,0,2,3,1,0,0,1,0
124,2,4,1,1,0,0,0,2,1
259,1,0,2,1,2,1,1,0,0
144,0,2,1,1,0,0,0,0,0
271,0,2,2,3,0,1,0,0,1
129,0,1,1,3,2,1,1,0,0
330,1,2,0,1,1,0,1,1,2
149,0,4,3,1,1,1,1,1,2
436,2,3,2,0,1,0,1,1,1
122,1,3,0,2,0,0,2,1,0
361,0,2,0,2,1,1,0,1,0
373,0,2,3,2,1,0,0,0,0
499,1,0,1,2,0,0,2,1,0
358,1,4,3,1,1,1,1,0,2
111,2,2,1,1,2,0,1,1,1
147,1,3,0,1,0,0,2,0,1
82,2,3,0,3,2,1,2,0,1
90,1,3,1,1,1,0,1,2,1
382,0,3,2,2,1,1,0,0,1
24,1,2,0,1,2,0,2,2,0
44,2,4,1,0,1,1,1,0,2
178,0,1,1,2,2,1,0,2,1
11,2,3,0,0,2,0,1,0,1
303,0,3,1,2,1,0,1,0,1
216,1,3,0,1,2,0,2,0,1
193,1,1,0,3,2,1,1,0,0
274,0,3,1,2,0,1,0,2,2
353,0,4,1,1,2,0,0,1,0
236,1,0,2,3,1,1,0,2,1
114,2,3,1,2,2,1,2,1,1
