,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.009999999999,0.0019999999998,0.0044721359545523654
sanity.nearest_syn_neighbor_distance.mean,0.41600264277300164,0.5974285023150467,0.4998902047417729,0.06615451275495327
sanity.close_values_probability.score,0.01,0.04,0.02,0.012247448713915891
sanity.distant_values_probability.score,0.02,0.09,0.044,0.027928480087537882
stats.jensenshannon_dist.marginal,0.02214671213616693,0.02424680389253971,0.023169232157137166,0.0008910788242137847
stats.chi_squared_test.marginal,0.9782796490185857,0.9888741189535116,0.9838425765911302,0.003967060244407454
stats.inv_kl_divergence.marginal,0.9717795216893064,0.989947156915474,0.9810494282378661,0.0068677047008032024
stats.ks_test.marginal,0.8944444444444445,0.9011111111111111,0.8988888888888888,0.002832788618662622
stats.max_mean_discrepancy.joint,0.02031710638518268,0.021145463786062087,0.020637546810568046,0.00033099193832778113
stats.wasserstein_dist.joint,0.35531827822669193,0.3757432680292774,0.36765832651239,0.008806793739477292
stats.alpha_precision.delta_precision_alpha_OC,0.2300000000000002,0.3793333333333334,0.3205333333333334,0.05598094914045902
stats.alpha_precision.delta_coverage_beta_OC,0.18466666666666676,0.38859770114942527,0.25251954022988504,0.08042011929401643
stats.alpha_precision.authenticity_OC,0.59,0.74,0.648,0.060580524923443846
stats.alpha_precision.delta_precision_alpha_naive,0.76,0.9186206896551724,0.8355172413793104,0.0637160101631952
stats.alpha_precision.delta_coverage_beta_naive,0.5306666666666667,0.605264367816092,0.5614390804597702,0.03171436047895727
stats.alpha_precision.authenticity_naive,0.33,0.49,0.434,0.0634822809924155
stats.prdc.precision,0.97,0.99,0.9799999999999999,0.010000000000000009
stats.prdc.recall,0.76,0.93,0.8540000000000001,0.06804410334481603
stats.prdc.density,0.794,0.962,0.8607999999999999,0.0670014925206894
stats.prdc.coverage,0.91,0.97,0.9359999999999999,0.023021728866442645
performance.linear_model.gt,0.9414999999999999,0.9414999999999999,0.9414999999999999,0.0
performance.linear_model.syn_id,0.7888437499999998,0.8524687500000001,0.8194656250000001,0.022767416925015983
performance.linear_model.syn_ood,0.7872499999999999,0.8542500000000001,0.81805,0.02417604703006683
performance.mlp.gt,0.683203125,0.683203125,0.683203125,0.0
performance.mlp.syn_id,0.0,0.0,0.0,0.0
performance.mlp.syn_ood,0.0,0.0,0.0,0.0
performance.xgb.gt,0.977,0.977,0.977,0.0
performance.xgb.syn_id,0.7619687500000001,0.856078125,0.7937468750000001,0.03860285570718829
performance.xgb.syn_ood,0.7615,0.8595,0.7934,0.04131192321836401
performance.feat_rank_distance.corr,-0.27270806672036,-0.02616601919491727,-0.14292461151357033,0.11269246306780051
performance.feat_rank_distance.pvalue,0.0026083973433251866,0.7726950115298973,0.3207323446768434,0.39239586069617843
detection.detection_xgb.mean,0.6455,0.753,0.7137,0.04357550917660059
detection.detection_mlp.mean,0.537,0.59325,0.5633,0.025972581696858715
detection.detection_gmm.mean,0.508,0.5860000000000001,0.53165,0.031239798334816486
detection.detection_linear.mean,0.508,0.5860000000000001,0.5423,0.028177118376441573
privacy.delta-presence.score,1.9999999966666666,8.999999910000001,3.6499999780416674,3.0186917317150828
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,3.00000001,6.00000001,4.80000001,1.3038404810405297
privacy.k-map.score,1.0,4.0,2.4,1.5165750888103102
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,3.00000001,6.00000001,4.80000001,1.3038404810405297
privacy.identifiability_score.,0.28,0.38,0.316,0.03911521443121589
privacy.identifiability_score._privacy.identifiability_score.OC,0.18,0.28,0.21999999999999997,0.03807886552931955
