,parents,has_nurs,form,children,housing,finance,social,health,target
166,2,4,0,2,1,1,1,0,0
164,1,3,0,3,1,1,2,1,1
410,1,2,0,2,1,1,1,1,2
101,2,1,0,3,0,0,1,0,0
92,2,4,0,3,2,0,0,1,0
147,0,4,0,1,0,0,1,2,0
136,0,4,3,1,0,0,2,2,1
323,1,0,3,2,2,0,0,1,1
202,1,1,0,3,2,0,1,0,0
122,0,1,2,3,0,0,0,2,1
379,1,2,1,2,2,1,2,1,1
334,2,2,3,0,2,0,1,0,0
366,2,3,0,0,0,1,2,0,0
210,2,1,2,1,1,1,1,2,1
59,1,3,1,0,0,1,0,0,0
65,0,2,1,2,1,2,1,0,1
165,0,2,2,0,0,1,1,1,0
338,0,1,0,2,1,1,1,0,0
316,2,3,1,0,2,1,0,0,0
405,2,2,1,1,2,0,0,2,1
124,2,4,2,1,1,0,2,2,1
24,2,0,1,0,0,1,1,1,1
429,1,1,2,2,2,1,0,2,1
416,2,1,0,1,2,0,2,0,0
275,1,2,3,1,1,0,2,0,1
56,2,1,2,2,0,0,1,1,2
370,1,2,1,1,2,1,2,1,1
269,1,4,0,1,1,0,0,2,1
192,2,3,1,0,1,0,2,1,1
254,0,2,2,2,0,0,1,2,2
74,2,1,2,3,2,0,1,0,0
221,1,1,1,3,0,1,1,0,0
191,0,1,2,1,0,1,0,2,1
205,0,2,1,3,1,0,2,2,1
350,1,2,1,1,1,1,2,1,2
388,2,0,0,1,1,1,0,1,1
199,2,2,0,1,0,1,1,1,0
171,2,1,1,1,2,0,2,0,1
425,1,2,1,3,2,1,1,0,1
277,2,2,0,1,0,0,0,1,0
215,1,1,1,3,0,1,1,0,0
116,0,2,2,3,1,1,0,0,0
26,2,2,0,3,1,0,2,1,1
157,2,0,3,2,0,1,0,0,0
119,2,0,0,3,2,0,1,0,0
301,0,3,2,2,2,1,0,1,1
348,0,4,1,0,2,0,2,1,1
376,1,1,1,3,1,0,2,0,0
100,1,3,2,2,1,1,2,1,1
174,1,0,0,2,1,0,2,1,0
36,2,1,1,2,0,0,1,2,1
300,1,2,1,1,1,0,2,2,2
212,1,3,0,1,0,0,2,1,1
162,2,4,1,0,1,0,0,1,0
272,2,3,3,0,2,0,1,0,1
195,0,2,0,1,2,0,0,1,1
160,2,3,2,1,1,0,2,1,1
98,1,3,1,2,2,1,0,0,0
423,1,4,0,2,0,1,2,2,1
296,1,4,3,1,1,0,1,0,0
76,0,3,0,0,2,0,0,2,1
351,0,3,2,0,2,0,1,2,1
403,1,2,3,0,1,0,1,1,1
223,2,1,3,0,1,1,1,1,0
362,2,1,3,0,2,1,0,0,1
381,0,3,2,1,1,0,1,2,1
228,1,1,3,2,0,1,2,1,1
267,0,0,2,0,0,0,1,0,0
306,0,2,3,1,0,0,0,1,1
181,0,1,1,2,0,1,0,2,1
317,1,0,2,0,0,0,1,2,1
23,2,3,2,1,1,0,2,2,1
286,0,4,2,3,1,1,2,2,2
329,1,0,1,3,2,0,0,2,0
146,1,1,3,3,1,1,0,0,1
360,1,2,1,1,1,0,2,1,2
150,1,2,2,1,1,0,1,1,2
278,1,3,1,2,2,1,1,0,2
260,1,3,0,2,2,1,0,1,1
93,1,1,3,0,1,1,2,0,0
253,2,3,0,1,1,0,1,1,0
236,2,2,1,3,1,0,1,0,1
322,2,2,1,1,0,1,1,0,0
97,2,1,3,0,1,1,2,1,0
421,1,2,3,1,1,1,2,0,0
4,0,4,2,1,2,0,0,1,2
132,2,3,0,1,2,1,2,1,1
80,1,2,1,2,1,1,1,1,2
46,1,1,3,0,0,1,1,0,1
176,2,1,1,0,2,0,2,1,1
89,1,3,1,0,1,0,1,2,1
307,1,1,1,0,1,1,1,2,2
310,1,2,2,1,1,1,1,1,2
200,0,2,1,1,2,0,2,1,1
60,1,2,2,1,1,1,1,2,2
284,2,2,0,1,0,1,0,2,1
309,1,3,0,2,1,1,0,1,2
261,0,2,3,1,0,0,2,0,0
241,0,2,1,3,0,1,0,1,2
346,0,1,0,2,2,0,2,0,0
