,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.019999999998,0.0039999999996,0.008944271909104731
sanity.nearest_syn_neighbor_distance.mean,0.45253274302688234,0.614556367249427,0.48990742439770657,0.06993126276648873
sanity.close_values_probability.score,0.02,0.09,0.05600000000000001,0.028809720581775864
sanity.distant_values_probability.score,0.05,0.15,0.088,0.03768288736283354
stats.jensenshannon_dist.marginal,0.02056263594826973,0.02657456275654001,0.023680796055053587,0.0022545277726763657
stats.chi_squared_test.marginal,0.9781839198363992,0.9921020958321863,0.9853743440270424,0.004985534198920821
stats.inv_kl_divergence.marginal,0.9605433810999094,0.9747850420674209,0.9680544557983144,0.00536520221236343
stats.ks_test.marginal,0.8733333333333333,0.9055555555555556,0.8913333333333332,0.011847800233392311
stats.max_mean_discrepancy.joint,0.020083455059841115,0.02137328164379039,0.02066521979583304,0.0006141409737769296
stats.wasserstein_dist.joint,0.343056327513551,0.37202129034185927,0.35701556337811186,0.012684081027688617
stats.alpha_precision.delta_precision_alpha_OC,0.10199999999999998,0.3886666666666667,0.28680000000000005,0.10884688532266072
stats.alpha_precision.delta_coverage_beta_OC,0.1639310344827586,0.40733333333333344,0.2626528735632184,0.09655892228231071
stats.alpha_precision.authenticity_OC,0.55,0.76,0.666,0.09016651263079879
stats.alpha_precision.delta_precision_alpha_naive,0.7486666666666667,0.8066666666666666,0.7782666666666668,0.02508031543306864
stats.alpha_precision.delta_coverage_beta_naive,0.472,0.6839999999999999,0.6104919540229885,0.08071966989325494
stats.alpha_precision.authenticity_naive,0.37,0.47,0.40199999999999997,0.04147288270665543
stats.prdc.precision,0.98,1.0,0.992,0.008366600265340763
stats.prdc.recall,0.69,0.83,0.7580000000000001,0.056302753041037004
stats.prdc.density,0.8640000000000001,0.944,0.9108,0.03327461494893663
stats.prdc.coverage,0.87,0.94,0.9120000000000001,0.025884358211089562
performance.linear_model.gt,0.9414999999999999,0.9414999999999999,0.9414999999999999,0.0
performance.linear_model.syn_id,0.8078749999999999,0.8413437500000001,0.8221343749999999,0.013536768144460346
performance.linear_model.syn_ood,0.8099999999999999,0.84275,0.8228,0.013490042624098694
performance.mlp.gt,0.683203125,0.683203125,0.683203125,0.0
performance.mlp.syn_id,0.0,0.0,0.0,0.0
performance.mlp.syn_ood,0.0,0.0,0.0,0.0
performance.xgb.gt,0.977,0.977,0.977,0.0
performance.xgb.syn_id,0.8029999999999999,0.885578125,0.8303437499999999,0.03803742021896413
performance.xgb.syn_ood,0.8022499999999999,0.883,0.82995,0.03744137083494675
performance.feat_rank_distance.corr,-0.33434357860172065,0.19246560785594702,-0.07570701553729395,0.2110246544558919
performance.feat_rank_distance.pvalue,0.00022347919175609495,0.5085167554179515,0.1915509021600444,0.24331968916668653
detection.detection_xgb.mean,0.6299999999999999,0.7309999999999999,0.68555,0.03748266265888804
detection.detection_mlp.mean,0.5505,0.574,0.5655,0.009544304584410513
detection.detection_gmm.mean,0.4755,0.558,0.5171499999999999,0.037023472284484625
detection.detection_linear.mean,0.506,0.578,0.52885,0.02883660867716589
privacy.delta-presence.score,2.3999999952,3.999999986666667,3.133333324988889,0.6599663267408815
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,4.00000001,6.00000001,5.20000001,0.8366600265340756
privacy.k-map.score,1.0,4.0,2.6,1.140175425099138
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,4.00000001,6.00000001,5.20000001,0.8366600265340756
privacy.identifiability_score.,0.31,0.42,0.36400000000000005,0.039749213828703577
privacy.identifiability_score._privacy.identifiability_score.OC,0.16,0.21,0.196,0.020736441353327716
