,parents,has_nurs,form,children,housing,finance,social,health,target
273,1,4,3,1,0,1,1,1,2
15,0,3,3,3,0,0,0,2,2
274,0,1,0,3,1,0,0,2,2
188,0,1,0,2,0,0,1,0,0
47,0,1,3,2,0,0,0,1,2
100,1,2,1,1,0,0,1,1,0
118,1,4,3,1,1,0,0,1,1
269,0,2,1,2,2,1,1,2,2
9,0,2,3,1,1,0,2,1,2
72,1,1,3,0,2,1,1,2,0
199,1,2,0,1,1,0,1,0,0
102,2,4,0,0,1,1,2,1,2
230,1,3,1,1,0,1,1,2,1
54,0,1,2,1,1,1,1,2,1
345,1,2,3,1,0,1,1,1,1
59,2,0,1,3,1,1,2,0,0
200,0,1,3,2,2,0,1,0,1
203,1,4,3,0,1,1,0,1,2
314,0,2,0,3,0,0,0,0,1
48,1,2,2,1,1,0,1,1,2
363,2,1,1,1,2,0,1,2,1
355,1,3,2,1,2,0,1,2,1
50,2,1,0,1,2,0,1,2,1
171,2,3,1,2,1,0,2,1,1
397,2,2,2,1,2,1,1,1,0
341,0,2,1,3,0,0,0,2,2
195,1,0,0,2,1,0,2,0,0
252,2,3,1,3,0,1,1,0,0
351,2,3,1,0,2,1,0,1,2
271,0,2,1,1,0,1,0,0,0
67,1,0,1,1,2,1,1,1,2
283,1,1,0,3,1,1,0,2,2
399,1,4,3,2,1,1,2,2,2
172,0,1,3,3,0,1,0,2,2
108,2,2,1,1,1,0,0,1,0
212,0,3,2,0,1,0,2,1,1
18,0,4,1,2,1,0,1,0,2
140,1,2,0,2,0,0,1,0,0
378,0,1,3,3,2,1,2,2,2
119,2,3,3,2,2,1,1,2,2
402,1,2,1,1,0,0,1,0,0
452,2,1,1,0,2,0,1,2,2
365,0,3,1,1,1,1,0,1,0
489,1,2,1,2,1,0,1,0,1
193,1,3,0,0,1,0,2,0,0
484,2,1,0,0,0,0,1,0,0
103,1,1,2,0,0,0,1,0,0
242,1,2,3,3,2,0,1,1,1
33,2,0,0,1,0,1,0,2,1
251,0,1,2,1,2,0,2,2,2
321,0,2,3,2,0,1,2,1,2
41,0,3,0,1,0,0,0,1,2
350,1,2,2,1,1,0,1,2,1
124,0,2,1,2,2,1,2,1,1
262,1,4,1,0,1,1,1,2,0
233,1,0,3,1,2,0,1,2,1
270,1,3,0,2,1,0,1,1,2
392,1,1,2,0,0,1,0,2,0
408,1,2,2,1,1,1,2,1,1
96,1,2,1,1,1,0,1,1,0
371,2,2,3,2,1,1,0,1,2
357,1,4,1,2,0,0,1,2,1
83,1,0,3,1,1,1,0,1,2
285,2,2,3,2,1,0,2,2,2
360,0,1,2,2,1,0,1,1,0
104,0,2,3,1,1,0,1,1,0
235,1,4,0,0,1,0,0,2,2
311,0,3,1,2,1,1,2,1,0
21,0,1,2,1,0,0,0,1,2
447,2,1,3,1,1,1,2,1,2
239,2,1,0,2,0,0,1,2,1
272,2,3,0,3,1,0,2,2,1
123,2,4,2,2,0,0,1,0,0
120,2,3,1,2,0,1,2,1,0
434,0,1,3,3,0,0,1,2,2
440,1,2,3,0,1,0,2,1,2
257,0,2,3,1,1,0,2,0,2
209,1,2,3,2,0,1,0,2,2
91,2,3,2,0,2,1,1,1,0
385,0,3,1,1,2,1,0,0,0
204,0,2,0,3,2,1,1,0,2
231,2,1,2,3,1,0,2,1,1
337,1,1,2,0,2,0,0,2,1
480,2,3,1,2,1,1,2,1,0
336,0,2,3,2,1,1,1,1,3
256,1,2,1,1,0,0,1,1,0
114,2,3,3,0,2,0,0,0,0
259,2,0,1,3,1,1,0,2,3
44,0,2,1,2,1,0,1,1,2
115,1,2,0,2,1,1,2,1,1
112,0,2,3,0,0,1,1,0,0
38,0,4,3,1,2,1,0,1,2
117,0,1,3,0,0,1,1,0,0
455,1,4,0,3,1,1,1,1,2
185,2,2,1,0,0,0,1,1,1
87,0,1,1,3,2,0,2,0,1
446,1,3,2,1,1,0,2,2,2
247,1,3,0,2,1,0,2,1,0
157,0,3,3,1,1,1,2,0,1
465,2,2,2,1,1,0,2,2,1
