,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.019999999998,0.0119999999988,0.010954451149007878
sanity.nearest_syn_neighbor_distance.mean,0.465382961224271,0.6644181523291474,0.5801105283804133,0.0938734476208983
sanity.close_values_probability.score,0.02,0.05,0.028000000000000004,0.013038404810405298
sanity.distant_values_probability.score,0.05,0.17,0.118,0.04969909455915671
stats.jensenshannon_dist.marginal,0.018639426266126698,0.022648279323524582,0.02058122203354838,0.0018278924204049518
stats.chi_squared_test.marginal,0.9823085650773274,0.9883952363611175,0.9860594994864179,0.0022898511680431656
stats.inv_kl_divergence.marginal,0.9719418479921659,0.9801292471533805,0.9749488302973205,0.003763451358073837
stats.ks_test.marginal,0.8944444444444444,0.9177777777777778,0.908222222222222,0.01118310012452103
stats.max_mean_discrepancy.joint,0.019598548216182506,0.02078888556934684,0.020186692293318816,0.0004269783580105286
stats.wasserstein_dist.joint,0.33300361720510485,0.3787030638313393,0.3517990323481328,0.019954039953456397
stats.alpha_precision.delta_precision_alpha_OC,0.29266666666666663,0.41600000000000015,0.35893333333333344,0.04963108345023763
stats.alpha_precision.delta_coverage_beta_OC,0.29200000000000004,0.3986666666666667,0.3435862068965518,0.04474369102023672
stats.alpha_precision.authenticity_OC,0.6,0.7,0.64,0.039999999999999994
stats.alpha_precision.delta_precision_alpha_naive,0.7686666666666666,0.8573333333333334,0.7966666666666666,0.0352230984819148
stats.alpha_precision.delta_coverage_beta_naive,0.5413333333333332,0.6599310344827587,0.6076643678160919,0.04395638129103598
stats.alpha_precision.authenticity_naive,0.38,0.45,0.41800000000000004,0.025884358211089573
stats.prdc.precision,0.98,0.99,0.9879999999999999,0.004472135954999584
stats.prdc.recall,0.91,0.94,0.922,0.01303840481040527
stats.prdc.density,0.8420000000000001,0.9720000000000001,0.8812000000000001,0.052241745759497756
stats.prdc.coverage,0.92,0.96,0.9339999999999999,0.01673320053068147
performance.linear_model.gt,0.9414999999999999,0.9414999999999999,0.9414999999999999,0.0
performance.linear_model.syn_id,0.723421875,0.868171875,0.79889375,0.054802330780582505
performance.linear_model.syn_ood,0.72,0.8699999999999999,0.7980499999999999,0.05734500850117642
performance.mlp.gt,0.683203125,0.683203125,0.683203125,0.0
performance.mlp.syn_id,0.534765625,0.6255859375,0.5891015625,0.03529119068051456
performance.mlp.syn_ood,0.5287499999999999,0.76375,0.594625,0.09897482318751573
performance.xgb.gt,0.977,0.977,0.977,0.0
performance.xgb.syn_id,0.76878125,0.8680625000000001,0.80695625,0.03810800626642079
performance.xgb.syn_ood,0.7625,0.8615,0.8020999999999999,0.03779451018335868
performance.feat_rank_distance.corr,-0.15874051644916476,0.11571195155085637,0.0005814670932203891,0.10301982308195505
performance.feat_rank_distance.pvalue,0.07971092282389383,0.9641611458419527,0.5297192047387926,0.3997324463549227
detection.detection_xgb.mean,0.48649999999999993,0.6485,0.5615999999999999,0.07016801265534034
detection.detection_mlp.mean,0.53,0.5752499999999999,0.5500999999999999,0.016310081238301626
detection.detection_gmm.mean,0.45249999999999996,0.549,0.5135500000000001,0.03853342704717558
detection.detection_linear.mean,0.43,0.5704999999999999,0.4898999999999999,0.0666346381396342
privacy.delta-presence.score,1.9999999966666666,2.9999999925000003,2.466666659277778,0.5055250257204185
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0
privacy.k-anonymization.syn,3.00000001,7.00000001,5.20000001,1.4832396974191326
privacy.k-map.score,2.0,6.0,4.2,1.7888543819998317
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0
privacy.distinct l-diversity.syn,3.00000001,7.00000001,5.20000001,1.4832396974191326
privacy.identifiability_score.,0.35,0.46,0.40599999999999997,0.048785243670601885
privacy.identifiability_score._privacy.identifiability_score.OC,0.09,0.24,0.17,0.055226805085936304
