,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,43.92962694930365,58.00506205248415,51.15836743468695,5.423716224557228
linear_model.syn_ood_mae,43.92962694930365,58.00506205248415,51.15836743468695,5.423716224557228
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,55.36478952495312,71.78006992426677,63.0844271118231,6.170423231362718
linear_model.syn_ood_mse,51.86880366460635,65.93652537669593,59.46935985798859,5.204700552656942
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.28535259682759373,0.3918209384993719,0.3361284832976491,0.037979920058307554
linear_model.syn_ood_mape,43.92962694930365,58.00506205248415,51.15836743468695,5.423716224557228
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,45.499507649739584,52.958951822916674,50.392242380778,2.9622306816154906
xgb.syn_ood_mae,45.499507649739584,52.958951822916674,50.392242380778,2.962230681615491
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,56.84983617247228,63.62621392366124,60.5327110665901,2.537355779089161
xgb.syn_ood_mse,51.79655085944792,61.387006198124595,57.663288746804355,3.590325497244523
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.2774917580679225,0.3756485994575619,0.32804502957671755,0.03839107701554658
xgb.syn_ood_mape,0.2774917580679225,0.3756485994575619,0.3280450295767176,0.03839107701554657
