,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,70.06007475817644,88.33241203696844,77.90945215942152,7.0692116422850475
linear_model.syn_ood_mae,70.06007475817644,88.33241203696845,77.90945215942152,7.069211642285055
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,86.33760427534841,104.2030577289645,92.80551707394628,7.87338813877933
linear_model.syn_ood_mse,83.52903533207521,97.38073181592223,88.94212303696365,6.028429915617403
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.48141559900344044,0.5329570950094811,0.5047408115517347,0.020528238472505796
linear_model.syn_ood_mape,70.06007475817644,88.33241203696845,77.90945215942152,7.069211642285055
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,62.57268066406249,92.34200871785481,73.29411944071452,11.652378742340167
xgb.syn_ood_mae,62.5726806640625,92.34200871785481,73.29411944071452,11.652378742340163
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,75.24224366518068,106.21665206873499,88.72188881607488,11.852300114063485
xgb.syn_ood_mse,71.11960372011843,104.79379539392733,86.11619027321031,12.431061862213403
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.3965994926051573,0.5015679482683764,0.44650397192191427,0.04702248164020783
xgb.syn_ood_mape,0.39659949260515737,0.5015679482683763,0.44650397192191427,0.047022481640207774
