,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,49.55087165148846,68.48045307443374,57.21292956517489,6.956738665285484
linear_model.syn_ood_mae,49.55087165148846,68.48045307443374,57.21292956517489,6.956738665285484
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,61.1458934406626,84.95413145390728,70.85818110577165,8.76643358973061
linear_model.syn_ood_mse,59.57174605709626,81.645685824245,68.54276712377934,8.175942313182162
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.32324306018086785,0.4790514725392211,0.39529376099831204,0.06439079869119041
linear_model.syn_ood_mape,49.55087165148846,68.48045307443374,57.21292956517489,6.956738665285484
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,51.55867080688476,73.45540110270181,63.50966651916504,9.393862086726726
xgb.syn_ood_mae,51.55867080688476,73.45540110270183,63.50966651916504,9.39386208672673
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,69.61406511168788,92.28244857612097,81.33511314360848,8.932254790563409
xgb.syn_ood_mse,68.11786853768255,87.11947889676712,77.41290393066467,7.72383409402343
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.32237976939057994,0.4794293494863132,0.4181258447870313,0.06505340789579683
xgb.syn_ood_mape,0.3223797693905799,0.47942934948631316,0.4181258447870312,0.06505340789579685
