,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,62.656346468531694,93.17890984622524,77.86334777468174,12.604501238683632
linear_model.syn_ood_mae,62.65634646853168,93.17890984622522,77.86334777468174,12.604501238683632
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,74.50770221353946,112.93884535592997,93.80426046703596,15.175853779700347
linear_model.syn_ood_mse,72.06466718397687,107.71722591601447,89.24810372589918,14.413956888566307
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.4280303346954538,0.5526566692496505,0.4962581317837446,0.053505615386942394
linear_model.syn_ood_mape,62.65634646853168,93.17890984622522,77.86334777468174,12.604501238683632
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,65.23399937947592,90.71246388753255,77.50083572387696,10.579627563126087
xgb.syn_ood_mae,65.23399937947592,90.71246388753255,77.50083572387696,10.579627563126087
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,75.1200476678728,103.87441802026547,91.8813068776122,11.607964886266842
xgb.syn_ood_mse,73.50831293191983,99.70203814329355,89.09382163808786,10.699510187779174
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.4187705727039943,0.6192016076312183,0.5138157272585622,0.08452764314282298
xgb.syn_ood_mape,0.4187705727039942,0.6192016076312183,0.5138157272585622,0.084527643142823
