,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,52.66906277961626,68.7846087950598,59.18248277961468,6.117342894030005
linear_model.syn_ood_mae,52.66906277961626,68.7846087950598,59.18248277961468,6.1173428940300045
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,65.40505009007482,82.16275255962542,71.89657403902635,6.439677718570213
linear_model.syn_ood_mse,62.529229904163586,77.9875061461926,68.7654807849437,6.150244840203889
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.33699385276464733,0.46270344256749574,0.41727684616145533,0.04831203566211713
linear_model.syn_ood_mape,52.66906277961626,68.7846087950598,59.18248277961468,6.1173428940300045
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,58.23708648681641,76.344491704305,69.05965708414713,8.985788979824711
xgb.syn_ood_mae,58.23708648681641,76.34449170430501,69.05965708414713,8.985788979824715
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,70.40210581082101,94.83284318777912,84.24739897598685,12.706162409428785
xgb.syn_ood_mse,66.25114654723167,89.45939514416874,79.78096676915418,11.516278815185983
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.35544531824111514,0.4772071414424811,0.4374858920575451,0.052274583290663805
xgb.syn_ood_mape,0.3554453182411151,0.4772071414424811,0.437485892057545,0.05227458329066383
