,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,258002.01662381314,337954.7188555134,284442.0925757537,32740.02934372211
linear_model.syn_ood_mae,258002.0166238131,337954.7188555133,284442.0925757537,32740.029343722093
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,421020.10599916603,501010.27526181925,447400.96706798754,31939.88062761386
linear_model.syn_ood_mse,383495.55757574516,467791.64612921886,409523.6422863694,34406.886408808125
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.2620104403187065,0.3612313543317822,0.2977980790750182,0.03912341641444243
linear_model.syn_ood_mape,258002.0166238131,337954.7188555133,284442.0925757537,32740.029343722093
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,269266.66125,306122.4125,288178.62374999997,17105.303581770506
xgb.syn_ood_mae,269266.66125,306122.4125,288178.62374999997,17105.303581770495
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,387201.74047379836,412394.78626035183,397499.1613418221,10250.473409804614
xgb.syn_ood_mse,373124.2421993435,400171.5758770493,381501.73366198526,11240.092169451054
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.2724743328701772,0.3495388468659962,0.3114437203462076,0.030126619174118786
xgb.syn_ood_mape,0.27247433287017714,0.3495388468659961,0.3114437203462076,0.030126619174118793
