,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,460187.0892281506,694317.1243861947,549774.1084156964,96915.98588963125
linear_model.syn_ood_mae,460187.08922815055,694317.1243861947,549774.1084156964,96915.98588963127
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,637082.9932969671,866729.3408894988,745766.6509903144,95281.27667662146
linear_model.syn_ood_mse,603082.4546626216,842225.0376263873,718967.0945378687,98744.7766599862
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.4398794425060011,0.6114952498338069,0.4996086082157915,0.06648765318144849
linear_model.syn_ood_mape,460187.08922815055,694317.1243861947,549774.1084156964,96915.98588963127
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,577105.5053125,900169.48515625,786406.4901249999,129630.68883254097
xgb.syn_ood_mae,577105.5053125002,900169.48515625,786406.4901249999,129630.68883254094
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,794007.3179520892,1071861.8505023909,981147.3167460781,112561.19588717958
xgb.syn_ood_mse,767618.3174006175,1053634.1552549344,961155.6081433225,115621.49512364062
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.48650014446823125,0.8029026952569016,0.6871227129242131,0.12596164900684417
xgb.syn_ood_mape,0.48650014446823137,0.8029026952569017,0.6871227129242131,0.12596164900684417
