,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,259652.15895500168,269925.1225734806,265393.16465695325,4550.2537174416275
linear_model.syn_ood_mae,259652.15895500168,269925.1225734806,265393.16465695325,4550.2537174416275
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,421443.39920439664,436768.33053427807,427241.34031218925,6327.057100824189
linear_model.syn_ood_mse,386004.75205840595,395150.4161890949,390656.1154165727,4176.524703824961
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.25009541312236305,0.29540602853101666,0.27166347196155927,0.018357852090518635
linear_model.syn_ood_mape,259652.15895500168,269925.1225734806,265393.16465695325,4550.2537174416275
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,215328.50343749998,263794.70437500003,248751.40743750002,19655.30433053142
xgb.syn_ood_mae,215328.50343749998,263794.704375,248751.4074375,19655.304330531402
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,350998.1045966732,393163.96537374717,377571.15136033046,17206.6003571086
xgb.syn_ood_mse,322888.3142236735,368377.243315683,349576.4490089979,18594.65459437944
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.2361465181973387,0.28401182283312754,0.26495627460503196,0.019704744084448285
xgb.syn_ood_mape,0.23614651819733873,0.2840118228331275,0.2649562746050319,0.019704744084448268
