,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,272500.10831541853,310637.4799370265,285993.0113907937,15233.08190246396
linear_model.syn_ood_mae,272500.1083154185,310637.4799370265,285993.0113907937,15233.081902463973
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,445080.607994535,492466.40565898194,465073.1180308345,17637.205276332712
linear_model.syn_ood_mse,402887.68843716756,456025.5195160279,425460.2959826825,19555.787816223383
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.26229860281114015,0.30883305116109766,0.2797169105256538,0.02113441792600991
linear_model.syn_ood_mape,272500.1083154185,310637.4799370265,285993.0113907937,15233.081902463973
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,295730.0078125,331251.421875,308047.0251875,14680.850473019733
xgb.syn_ood_mae,295730.0078125,331251.421875,308047.0251875,14680.850473019736
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,458886.76444246556,552761.7515214591,501075.59607798903,34544.074066136476
xgb.syn_ood_mse,440250.48916930624,511192.04293171584,470420.6325433056,27054.81208147714
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.27902324842435505,0.3407098851435309,0.2944624352002342,0.02615384837407798
xgb.syn_ood_mape,0.279023248424355,0.34070988514353084,0.29446243520023413,0.02615384837407796
