,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,833515.1867546011,957965.4639003925,908054.49569005,45562.51926293206
linear_model.syn_ood_mae,833515.186754601,957965.4639003925,908054.4956900498,45562.5192629321
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,1024617.4047964597,1124990.1298492781,1082383.0691683728,36295.39369272649
linear_model.syn_ood_mse,1005708.9594432323,1107310.335212691,1064170.072122106,36734.599941109125
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.7167437158170108,0.8710889276443071,0.8106132796714304,0.05690412163343294
linear_model.syn_ood_mape,833515.186754601,957965.4639003925,908054.4956900498,45562.5192629321
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,844591.57265625,901713.0478124998,876273.8423437498,22212.295274196007
xgb.syn_ood_mae,844591.57265625,901713.0478124998,876273.8423437498,22212.29527419603
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,1038986.8393201518,1073241.9895943268,1054984.9889579043,13770.898152935224
xgb.syn_ood_mse,1022453.493042794,1054923.464934923,1036945.114156598,12641.211350228261
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.7432907372562576,0.8050679519220407,0.7813341363617103,0.023677945458834324
xgb.syn_ood_mape,0.7432907372562575,0.8050679519220407,0.7813341363617102,0.02367794545883437
