,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,263483.86506191146,280664.6282211243,273456.8132953726,6453.101154320425
linear_model.syn_ood_mae,263483.86506191146,280664.6282211243,273456.8132953726,6453.101154320425
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,410373.45500183804,423463.2477705898,417583.20262094244,5104.808914286799
linear_model.syn_ood_mse,384008.3451098404,396536.7977952748,389470.90078972385,4626.577089295037
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.2823383472382909,0.32412439623655465,0.3099522806080759,0.01605567033456222
linear_model.syn_ood_mape,263483.86506191146,280664.6282211243,273456.8132953726,6453.101154320425
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,185596.37125,222716.8453125,204444.70584374998,17460.684780482068
xgb.syn_ood_mae,185596.37125,222716.8453125,204444.70584374998,17460.684780482068
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,331899.1693044603,375704.9261937918,355199.5247665555,18436.963312247244
xgb.syn_ood_mse,292861.6764087422,342244.79880806885,319850.2785751984,21840.77504681205
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.19473401446893532,0.25344238871728547,0.2159529214592975,0.023358526594763274
xgb.syn_ood_mape,0.19473401446893532,0.2534423887172854,0.21595292145929754,0.023358526594763247
