,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,263382.13715933723,315609.2899160641,294126.57164949254,21439.11218851434
linear_model.syn_ood_mae,263382.1371593372,315609.2899160641,294126.5716494925,21439.112188514362
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,439676.9250830443,526999.635646318,482624.2337727978,32522.908073090857
linear_model.syn_ood_mse,392467.0740188681,484206.7259903593,440775.75683341024,35224.02862932086
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.24964335887699804,0.31508790938065523,0.2820931028158468,0.026158596763448175
linear_model.syn_ood_mape,263382.1371593372,315609.2899160641,294126.5716494925,21439.112188514362
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,265929.23,338575.676875,286870.96525,29964.94576358437
xgb.syn_ood_mae,265929.23,338575.676875,286870.96525,29964.94576358437
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,408829.34773536556,565210.8877828908,466281.46703614865,64451.16391087431
xgb.syn_ood_mse,378498.4503410693,545714.5582650381,427388.85621480655,70852.30261177947
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.2605573492183456,0.30788778607849576,0.2803326831620406,0.018915472305997216
xgb.syn_ood_mape,0.2605573492183456,0.30788778607849576,0.2803326831620406,0.01891547230599723
