,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,56.25117547593292,73.57973789777978,63.77850277788197,6.940799429336006
linear_model.syn_ood_mae,56.251175475932925,73.57973789777978,63.778502777881954,6.940799429336006
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,74.27191819998723,86.00846934233394,79.29186218711708,4.392681437152486
linear_model.syn_ood_mse,72.28404411758467,82.38988793079946,77.01864467489251,4.055609576312241
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.33027066053406984,0.461144111099975,0.3955815534509172,0.050768587658890356
linear_model.syn_ood_mape,56.251175475932925,73.57973789777978,63.778502777881954,6.940799429336006
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,64.14095967610676,79.79146677652996,70.34358406066895,6.434504368714246
xgb.syn_ood_mae,64.14095967610676,79.79146677652996,70.34358406066895,6.434504368714247
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,75.48630550771482,98.2284092292496,85.95898014552176,8.663190250930771
xgb.syn_ood_mse,73.68272246279908,96.61357412855044,83.83259674842468,8.991725303885291
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.39828775109565917,0.48433323132099754,0.43441770663433343,0.03552453768460471
xgb.syn_ood_mape,0.3982877510956592,0.48433323132099765,0.43441770663433343,0.035524537684604736
