,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,51.08573952700395,63.80111826528444,58.66095374488234,5.730804640585474
linear_model.syn_ood_mae,51.08573952700395,63.801118265284444,58.66095374488234,5.730804640585478
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,64.52533551994668,80.48104974428881,72.92477175293342,7.109257328876788
linear_model.syn_ood_mse,62.78365036840846,79.74785256118955,70.57256316341038,7.35790409679637
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.31549345550787233,0.4329805367573372,0.37499444027877626,0.04194982652655227
linear_model.syn_ood_mape,51.08573952700395,63.801118265284444,58.66095374488234,5.730804640585478
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,50.034996922810876,79.74384638468425,68.92956881205241,11.824459247793234
xgb.syn_ood_mae,50.034996922810876,79.74384638468425,68.92956881205241,11.824459247793234
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,61.89932378104011,101.03998938146282,84.76489254104797,14.888620522356439
xgb.syn_ood_mse,57.78138598505486,96.48745372096084,81.08465487684632,14.803863003381824
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.3256783925231609,0.44292702764104525,0.40357808781146226,0.04659130014383096
xgb.syn_ood_mape,0.3256783925231609,0.44292702764104525,0.40357808781146226,0.04659130014383096
