,min,max,mean,stddev
linear_model.gt_mae,52.77255473153508,52.77255473153508,52.77255473153508,0.0
linear_model.syn_id_mae,55.16639256370841,84.04162454324859,62.66992289723693,12.017373211588781
linear_model.syn_ood_mae,55.166392563708406,84.04162454324857,62.66992289723693,12.017373211588776
linear_model.gt_mse,62.75617864399489,62.75617864399489,62.75617864399489,0.0
linear_model.syn_id_mse,67.93846821934706,104.7952821654001,77.68859026891806,15.25866899986909
linear_model.syn_ood_mse,63.61875119474121,102.18160316115268,73.82123423190681,15.965460531845853
linear_model.gt_mape,0.4303313224697679,0.4303313224697679,0.4303313224697679,0.0
linear_model.syn_id_mape,0.36188953609948016,0.4875805221896202,0.40223517265856834,0.05064976672074484
linear_model.syn_ood_mape,55.166392563708406,84.04162454324857,62.66992289723693,12.017373211588776
xgb.gt_mae,54.211292394002285,54.211292394002285,54.211292394002285,0.0
xgb.syn_id_mae,59.90104090372721,76.67005259195963,67.65666577657063,6.2116654521517916
xgb.syn_ood_mae,59.90104090372722,76.67005259195965,67.65666577657063,6.211665452151793
xgb.gt_mse,64.91913280276546,64.91913280276546,64.91913280276546,0.0
xgb.syn_id_mse,76.50441896904101,93.74003106733389,84.43697571388907,6.4571165554203285
xgb.syn_ood_mse,70.66691797089835,87.61725703001927,79.04247727081898,6.4793085992313495
xgb.gt_mape,0.3959839071248759,0.3959839071248759,0.3959839071248759,0.0
xgb.syn_id_mape,0.3738151332108829,0.4592108749012021,0.42868733472947457,0.03973230877203496
xgb.syn_ood_mape,0.3738151332108829,0.4592108749012021,0.42868733472947457,0.03973230877203493
