,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,259304.30907095224,270622.80636431515,263012.77818620426,4464.417921589814
linear_model.syn_ood_mae,259304.30907095224,270622.80636431515,263012.77818620426,4464.417921589814
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,419658.5667407994,433803.6114110105,424343.97032353526,5467.653990319478
linear_model.syn_ood_mse,380611.7019503898,393578.65333844983,387090.2073137818,4793.610867307411
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.25542427169905463,0.28360365210916927,0.2681885578607003,0.011472657887484963
linear_model.syn_ood_mape,259304.30907095224,270622.80636431515,263012.77818620426,4464.417921589814
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,228366.75125000003,275850.9534375,243543.9584375,18895.142934672083
xgb.syn_ood_mae,228366.75125000003,275850.9534375,243543.9584375,18895.142934672083
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,364646.1066598198,392524.51351336186,376692.9203972769,10691.182539222274
xgb.syn_ood_mse,340867.9703870622,367068.5863264568,349377.9947939947,10482.881481678472
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.24470006795721505,0.29019986130483677,0.26100529900907216,0.018606865528822993
xgb.syn_ood_mape,0.24470006795721502,0.29019986130483677,0.26100529900907216,0.018606865528822996
