,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,298965.2703069562,889598.2779015685,581141.1078085116,263969.5835192741
linear_model.syn_ood_mae,298965.2703069562,889598.2779015682,581141.1078085116,263969.5835192741
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,444199.25882519095,1219963.3998193825,817702.2619130296,368528.14928324893
linear_model.syn_ood_mse,422181.7322994439,1188706.4045715805,790985.5955940224,354831.82673803007
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.30350310806938363,1.0510547368313636,0.6832867675749343,0.32176719033824597
linear_model.syn_ood_mape,298965.2703069562,889598.2779015682,581141.1078085116,263969.5835192741
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,260597.60031249997,296057.3828125,277508.45475,13594.444193527415
xgb.syn_ood_mae,260597.60031249997,296057.3828125,277508.45475,13594.444193527417
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,403249.4406539321,426608.3454132989,417862.1223647968,9955.61957348525
xgb.syn_ood_mse,371165.80407537817,399070.5603772594,391579.55690446385,11676.714299813817
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.2675508511440857,0.3258008880834757,0.2927299928645808,0.025593799066678108
xgb.syn_ood_mape,0.2675508511440857,0.3258008880834757,0.2927299928645808,0.025593799066678104
