,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,265415.1087074846,280166.9863906044,271962.0714672473,6216.787525057807
linear_model.syn_ood_mae,265415.1087074846,280166.98639060446,271962.0714672473,6216.787525057828
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,409260.18490465044,424985.3271124402,415412.0735464634,6104.60613337779
linear_model.syn_ood_mse,380634.93651613407,398259.1630233917,389234.4068604711,7945.267566602386
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.2811423910313815,0.3235631409852623,0.30480995507998165,0.017273287918838715
linear_model.syn_ood_mape,265415.1087074846,280166.98639060446,271962.0714672473,6216.787525057828
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,225988.3,243226.00843749996,236036.3776875,6462.272113970271
xgb.syn_ood_mae,225988.3,243226.00843750002,236036.3776875,6462.272113970287
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,347090.95380466466,384291.2061780707,359985.7819880072,14611.56596628615
xgb.syn_ood_mse,334022.22694189486,349899.99448576616,339743.50402563985,6691.968743587052
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.24760489631307178,0.28787407492828904,0.2619289580578939,0.01674708135357954
xgb.syn_ood_mape,0.24760489631307178,0.287874074928289,0.2619289580578938,0.016747081353579524
