,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,269529.042305218,283383.1118881097,273574.98256702925,5881.405218626553
linear_model.syn_ood_mae,269529.04230521794,283383.1118881097,273574.98256702925,5881.405218626573
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,427669.1968647147,449500.37436238735,438113.0529361077,9571.273377535368
linear_model.syn_ood_mse,392691.43191715353,411766.9660383039,399912.2731247412,7106.198502576001
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.25136403988843026,0.29401605239940165,0.27299712945392196,0.015293501750411713
linear_model.syn_ood_mape,269529.04230521794,283383.1118881097,273574.98256702925,5881.405218626573
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,239968.3884375,256279.47281250003,247780.65387500002,6451.43001786044
xgb.syn_ood_mae,239968.38843750005,256279.4728125,247780.653875,6451.430017860426
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,355762.82067691424,383862.11996351165,366490.54396470246,11993.520878416099
xgb.syn_ood_mse,327618.1197840305,359256.0151641051,341592.6550279974,12373.148654940731
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.24635270392284384,0.31105172119737434,0.2662864999808278,0.026975481068859775
xgb.syn_ood_mape,0.24635270392284384,0.31105172119737434,0.2662864999808278,0.026975481068859775
