,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,277260.8937525463,465273.2690271729,347750.99915333977,70090.24844862612
linear_model.syn_ood_mae,277260.8937525463,465273.26902717294,347750.99915333977,70090.24844862615
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,427034.08815792046,644874.9139838052,525990.5525526598,78522.73692162836
linear_model.syn_ood_mse,393476.10976993834,610214.4615166626,487919.63050294167,78581.75447794923
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.3032843919860825,0.4995374419952216,0.3688215567694939,0.07552970884421531
linear_model.syn_ood_mape,277260.8937525463,465273.26902717294,347750.99915333977,70090.24844862615
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,329952.55593750003,540155.014375,418158.56743750005,96692.94357932889
xgb.syn_ood_mae,329952.55593750003,540155.014375,418158.56743750005,96692.94357932889
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,519904.53442396095,870070.5761570449,651544.2035792731,149327.8359159367
xgb.syn_ood_mse,491880.24788216566,801789.5894334882,617941.5213169794,137359.8307349547
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.31175578934716675,0.5709261918843819,0.4231548068471208,0.11015255325978024
xgb.syn_ood_mape,0.31175578934716663,0.5709261918843819,0.4231548068471208,0.1101525532597803
