,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,1001983.9874994028,1355266.8238318108,1192388.3558107163,138354.0685274683
linear_model.syn_ood_mae,1001983.9874994026,1355266.823831811,1192388.3558107163,138354.06852746842
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,1507443.9646001793,1987718.5389611956,1712214.8629137347,201619.42830951314
linear_model.syn_ood_mse,1437201.7964212329,1891628.9789627742,1658397.0694257563,198215.21063528702
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,1.1166575499286648,1.8197119463821771,1.427200648003213,0.2621590186632214
linear_model.syn_ood_mape,1001983.9874994026,1355266.823831811,1192388.3558107163,138354.06852746842
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,283188.06,1127544.5725000002,730517.9136250002,349340.29606167355
xgb.syn_ood_mae,283188.06,1127544.5725000002,730517.9136250002,349340.29606167355
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,429884.60394648975,4114533.9219325855,2410714.572703442,1565349.8913340273
xgb.syn_ood_mse,401937.4054440797,2939426.8695113123,1888943.1166429203,1142383.3368488546
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.28575233119152543,1.0675957389101698,0.6586342855999208,0.30994844361866253
xgb.syn_ood_mape,0.28575233119152543,1.0675957389101698,0.6586342855999208,0.30994844361866253
