,min,max,mean,stddev
linear_model.gt_mae,298742.4982053215,298742.4982053215,298742.4982053215,0.0
linear_model.syn_id_mae,278578.921711549,308853.31907886727,289054.53912598296,13713.634155976697
linear_model.syn_ood_mae,278578.92171154893,308853.3190788672,289054.53912598296,13713.634155976688
linear_model.gt_mse,455978.3509362504,455978.3509362504,455978.3509362504,0.0
linear_model.syn_id_mse,457493.80130964296,472693.4828086483,466922.12711239356,6676.050763280317
linear_model.syn_ood_mse,407840.10668121855,442486.82176835334,423573.74409612827,14262.242667439066
linear_model.gt_mape,0.34248702776244144,0.34248702776244144,0.34248702776244144,0.0
linear_model.syn_id_mape,0.2592632896350639,0.3129394742739467,0.280801075671866,0.020667006945428477
linear_model.syn_ood_mape,278578.92171154893,308853.3190788672,289054.53912598296,13713.634155976688
xgb.gt_mae,286696.33999999997,286696.33999999997,286696.33999999997,0.0
xgb.syn_id_mae,255869.82281250003,328157.8978125,299131.4996875,28646.805176716636
xgb.syn_ood_mae,255869.8228125,328157.8978125,299131.4996875,28646.80517671667
xgb.gt_mse,406102.75076416024,406102.75076416024,406102.75076416024,0.0
xgb.syn_id_mse,439844.73126189865,526195.3241355169,481253.781877195,36563.84843971217
xgb.syn_ood_mse,383059.0161769233,503094.5411414968,445122.60507557634,48513.195200383896
xgb.gt_mape,0.2880048745991002,0.2880048745991002,0.2880048745991002,0.0
xgb.syn_id_mape,0.2401625700753509,0.32364151275380976,0.29424918036286546,0.032727888394251795
xgb.syn_ood_mape,0.24016257007535086,0.3236415127538097,0.29424918036286546,0.0327278883942518
