,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.019999999998,0.0079999999992,0.008366600264504096
sanity.nearest_syn_neighbor_distance.mean,0.024789168799752258,0.04006831762265379,0.03110850759203418,0.0065656996126522114
sanity.close_values_probability.score,0.94,0.98,0.97,0.01732050807568879
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.010196120360731838,0.01368481682657333,0.01260621297654243,0.0013978805513726936
stats.chi_squared_test.marginal,0.11545194360318575,0.3479725290167395,0.22955702636406375,0.08223198042809093
stats.inv_kl_divergence.marginal,0.6552844849374662,0.7819763692295578,0.726614977300577,0.04620402310558688
stats.ks_test.marginal,0.8999999999999999,0.91875,0.906,0.007675040716504391
stats.max_mean_discrepancy.joint,0.0198,0.021400000000000002,0.020591152031322855,0.0005660313001491691
stats.wasserstein_dist.joint,0.04168566762362863,0.05264545100386491,0.045674080483056975,0.004218653862274138
stats.alpha_precision.delta_precision_alpha_OC,0.8728965517241379,0.9287356321839081,0.8987494252873564,0.019875086198400345
stats.alpha_precision.delta_coverage_beta_OC,0.3893333333333333,0.5926666666666667,0.48665287356321835,0.07525909902285088
stats.alpha_precision.authenticity_OC,0.44,0.63,0.5419999999999999,0.06906518659932802
stats.alpha_precision.delta_precision_alpha_naive,0.844,0.9291034482758621,0.8836781609195402,0.03829680832407328
stats.alpha_precision.delta_coverage_beta_naive,0.3693333333333335,0.5433333333333333,0.48706666666666676,0.06777839708278073
stats.alpha_precision.authenticity_naive,0.5,0.63,0.568,0.05540758070878026
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.91,0.98,0.954,0.027018512172212572
stats.prdc.density,1.042,1.136,1.0959999999999999,0.03921734310225509
stats.prdc.coverage,0.92,0.98,0.96,0.025495097567963903
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,0.44364967713544423,0.47975749426429104,0.46738821902983113,0.013845007939000275
performance.linear_model.syn_ood,0.42471673009387495,0.46735999749321194,0.4435590786612663,0.018348319365879658
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.414100074481893,-2.403377735237803,-2.4097603935748664,0.005554464645227114
performance.mlp.syn_ood,-5.433814918478712,-5.411302433460204,-5.424650498570092,0.01166366039142991
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,0.5444064489722813,0.6057809122055338,0.5805919515988471,0.02373626208619919
performance.xgb.syn_ood,0.527994014400132,0.6097688047271924,0.5797646133171002,0.033273838341524864
performance.feat_rank_distance.corr,0.6,1.0,0.86,0.1949358868961793
performance.feat_rank_distance.pvalue,0.00212511703620203,0.0652853035256509,0.020635015153371458,0.02801722109307314
detection.detection_xgb.mean,0.5545,0.67875,0.6176499999999999,0.05919184910103756
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.49024999999999996,0.548,0.5057,0.02412299214442523
detection.detection_linear.mean,0.4325,0.5832499999999999,0.51885,0.060401676301241825
privacy.delta-presence.score,2.3999999952,6.999999930000001,3.97999997454,1.7541379394711245
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.4000000099999999,0.5477225575051661
privacy.k-map.score,1.0,2.0,1.4,0.5477225575051661
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.4000000099999999,0.5477225575051661
privacy.identifiability_score.,0.43,0.5,0.4619999999999999,0.028635642126552705
privacy.identifiability_score._privacy.identifiability_score.OC,0.41,0.51,0.45999999999999996,0.037416573867739424
