,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.024020840893281412,0.07418403798986965,0.0384560615965325,0.02036592609599478
sanity.close_values_probability.score,0.92,0.99,0.9639999999999999,0.026076809620810572
sanity.distant_values_probability.score,0.01,0.02,0.012,0.00447213595499958
stats.jensenshannon_dist.marginal,0.01405362109195193,0.015907855683007652,0.014991252219454404,0.0007715537535745367
stats.chi_squared_test.marginal,0.23266256650216782,0.3695613822681756,0.33892606225742405,0.0594676848369521
stats.inv_kl_divergence.marginal,0.7653453901301179,0.8224084342868477,0.7919870250281892,0.024101931797173706
stats.ks_test.marginal,0.86875,0.88625,0.8779999999999999,0.006349212549600133
stats.max_mean_discrepancy.joint,0.020200000000000003,0.020200000000000003,0.020200000000000003,0.0
stats.wasserstein_dist.joint,0.052486730364317224,0.06705912213723651,0.05833774565792114,0.005340065037614583
stats.alpha_precision.delta_precision_alpha_OC,0.887448275862069,0.9309655172413793,0.911241379310345,0.016391135074290884
stats.alpha_precision.delta_coverage_beta_OC,0.3919999999999999,0.49993103448275866,0.4537195402298851,0.05516525671969333
stats.alpha_precision.authenticity_OC,0.5,0.59,0.5519999999999999,0.039623225512317874
stats.alpha_precision.delta_precision_alpha_naive,0.8685977011494252,0.9132643678160919,0.8978298850574713,0.01706241679398413
stats.alpha_precision.delta_coverage_beta_naive,0.2633333333333333,0.32266666666666677,0.3085333333333334,0.025348241227614504
stats.alpha_precision.authenticity_naive,0.57,0.68,0.626,0.039115214431215926
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.97,1.0,0.994,0.01341640786499875
stats.prdc.density,0.9720000000000001,1.03,1.0044000000000002,0.0257449024080496
stats.prdc.coverage,0.95,1.0,0.9800000000000001,0.021213203435596444
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,0.24993334373589304,0.47431884941723057,0.4032118238325867,0.09028325098819674
performance.linear_model.syn_ood,0.08923304357542441,0.431319264513008,0.3335099936302932,0.14072575625981543
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.4051920848568313,-2.4034023947756262,-2.40424030197018,0.0007773090174446063
performance.mlp.syn_ood,-5.415302018703876,-5.411234204032259,-5.413122348487177,0.0018014929070472457
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,0.4988192062746017,0.5479166334536731,0.5289705377465799,0.02247619489522406
performance.xgb.syn_ood,0.3622358148798809,0.5144488852534624,0.4654002386505403,0.06270054824515865
performance.feat_rank_distance.corr,0.6831300510639733,0.9759000729485332,0.87831006565368,0.11952286093343933
performance.feat_rank_distance.pvalue,0.002379816463809705,0.03344063866399787,0.010139845471254006,0.013168456475207433
detection.detection_xgb.mean,0.8775000000000001,0.9395,0.9146000000000001,0.024945941553687647
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.45975,0.53075,0.4953,0.025304026359455153
detection.detection_linear.mean,0.7045000000000001,0.7569999999999999,0.7264000000000002,0.021778429695457777
privacy.delta-presence.score,1.9999999800000003,2.1666666630555556,2.0619047519036284,0.0851835480352524
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.4000000099999999,0.5477225575051661
privacy.k-map.score,1.0,2.0,1.2,0.4472135954999579
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.4000000099999999,0.5477225575051661
privacy.identifiability_score.,0.41,0.56,0.48200000000000004,0.06140032573203503
privacy.identifiability_score._privacy.identifiability_score.OC,0.5,0.56,0.524,0.025099800796022285
