,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.02095432649106382,0.05387622884160488,0.029253506194987833,0.013826321423265274
sanity.close_values_probability.score,0.94,0.98,0.9719999999999999,0.017888543819998336
sanity.distant_values_probability.score,0.01,0.02,0.012,0.00447213595499958
stats.jensenshannon_dist.marginal,0.008329158288853448,0.010605273247109989,0.009431135911422165,0.001106118834169915
stats.chi_squared_test.marginal,0.2445616719953508,0.37499525905235176,0.32153191539778253,0.06909677403059776
stats.inv_kl_divergence.marginal,0.7429681319536485,0.8255598588723049,0.779501716885906,0.03079806120775673
stats.ks_test.marginal,0.9199999999999999,0.9325,0.9257500000000001,0.004808846015417858
stats.max_mean_discrepancy.joint,0.020200000000000003,0.0208,0.02036,0.0002607680962081044
stats.wasserstein_dist.joint,0.12088431684282695,0.8661384139959671,0.4180227784389599,0.30621842475408323
stats.alpha_precision.delta_precision_alpha_OC,0.8566666666666667,0.9466206896551724,0.9171632183908047,0.03828517576788373
stats.alpha_precision.delta_coverage_beta_OC,0.43800000000000006,0.5700000000000001,0.4973333333333333,0.048166378315169185
stats.alpha_precision.authenticity_OC,0.41,0.53,0.47400000000000003,0.049295030175464966
stats.alpha_precision.delta_precision_alpha_naive,0.8630804597701149,0.9251494252873563,0.8974022988505747,0.029105944945660392
stats.alpha_precision.delta_coverage_beta_naive,0.42666666666666664,0.5064597701149425,0.4650114942528735,0.03797707063533841
stats.alpha_precision.authenticity_naive,0.54,0.6,0.576,0.026076809620810562
stats.prdc.precision,0.96,0.99,0.9799999999999999,0.012247448713915901
stats.prdc.recall,1.0,1.0,1.0,0.0
stats.prdc.density,0.9800000000000001,1.0,0.9912000000000001,0.007293833011524147
stats.prdc.coverage,0.97,1.0,0.984,0.01341640786499875
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,-3.4821730053344786,0.4130682134183699,-1.3411999183092624,1.9279003410880289
performance.linear_model.syn_ood,-5.009334685886759,0.31162672873797437,-2.119362392176409,2.659948653251382
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.4041358155695676,-2.3978881789828796,-2.4003704742588616,0.002362274851951391
performance.mlp.syn_ood,-5.412768496835781,-5.399184515434894,-5.4046725160500975,0.005183011305676243
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,0.4633698078600035,0.5202994330499845,0.4830838284093889,0.02430208129320547
performance.xgb.syn_ood,0.4262791292666618,0.545480271044618,0.47377687029386584,0.04647734007400335
performance.feat_rank_distance.corr,0.5,0.9759000729485332,0.7279500364742667,0.17249286257480212
performance.feat_rank_distance.pvalue,0.002379816463809705,0.12451805873621316,0.04138556846144382,0.04818005805687209
detection.detection_xgb.mean,0.533,0.6769999999999999,0.5646000000000001,0.06289614455592646
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.4955,0.5197499999999999,0.50305,0.009536770941990767
detection.detection_linear.mean,0.43950000000000006,0.521,0.48390000000000005,0.03514861305940818
privacy.delta-presence.score,1.3999999972000001,3.4999999825000003,2.1799999933566667,0.8400892754681395
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.60000001,0.8944271909999159
privacy.k-map.score,1.0,4.0,1.8,1.30384048104053
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.60000001,0.8944271909999159
privacy.identifiability_score.,0.46,0.53,0.484,0.027018512172212603
privacy.identifiability_score._privacy.identifiability_score.OC,0.42,0.55,0.5119999999999999,0.05357238094391551
