,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09723406317717535,0.3285510765138247,0.15817872043609657,0.09861525264235808
sanity.close_values_probability.score,0.43,0.93,0.76,0.19761072845369504
sanity.distant_values_probability.score,0.01,0.12,0.032,0.04919349550499537
stats.jensenshannon_dist.marginal,0.0634733590632563,0.0679829757938448,0.06557053232154354,0.0016332042250203458
stats.chi_squared_test.marginal,0.2026212100651396,0.23284038418588018,0.21524599142925607,0.011011227827007595
stats.inv_kl_divergence.marginal,0.37355372121507735,0.39168050472711424,0.3834431547343017,0.008135952014833234
stats.ks_test.marginal,0.34625000000000006,0.36250000000000004,0.35725,0.006696547617989433
stats.max_mean_discrepancy.joint,0.03820779096327877,0.08132597020850586,0.056702955697461796,0.016955945286220943
stats.wasserstein_dist.joint,0.3560065343366003,0.410665101217208,0.3845268835343943,0.019568236721284916
stats.alpha_precision.delta_precision_alpha_OC,0.06999999999999995,0.09933333333333338,0.08279999999999998,0.011826523862347203
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.05733333333333335,0.02293333333333334,0.024875690945177796
stats.alpha_precision.authenticity_OC,0.4,1.0,0.8019999999999999,0.2711457172813172
stats.alpha_precision.delta_precision_alpha_naive,0.33666666666666667,0.3966666666666666,0.3644,0.021997979705216324
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,0.98,1.0,0.9960000000000001,0.008944271909999166
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.51,1.0,0.8620000000000001,0.20400980368599936
stats.prdc.density,0.6080000000000001,0.614,0.6103999999999999,0.002190890230020636
stats.prdc.coverage,0.1,0.14,0.13,0.01732050807568878
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,-2.1408280235993713,-0.7170566705013298,-1.6279825652403095,0.6100505235989983
performance.linear_model.syn_ood,-2.7641460872729424,-1.16082201591482,-2.151684094303101,0.6889121930832355
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.4076715139645315,-2.406861993131643,-2.4073054004410683,0.0003283313448267931
performance.mlp.syn_ood,-5.423261443578159,-5.421047733219503,-5.422167145426462,0.0009156650108437654
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,-2.43907173464575,-1.3393333645394585,-2.0846308481300775,0.4759148721918898
performance.xgb.syn_ood,-3.1508595451033727,-1.727817787464938,-2.704285910388774,0.610201368363378
performance.feat_rank_distance.corr,-0.34641016151377546,0.20225995873897262,-0.12973484945939945,0.2051950911660001
performance.feat_rank_distance.pvalue,0.310165067516987,0.7351432190295288,0.5486315089134962,0.15950919576873346
detection.detection_xgb.mean,0.99,1.0,0.998,0.004472135954999584
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.18725,0.29175,0.23075,0.055487892823570084
detection.detection_linear.mean,0.999,1.0,0.9994,0.0005477225575051667
privacy.delta-presence.score,0.8199999999180001,42.99999957000001,29.763999703983604,19.230144889899996
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,100.0,20.8,44.274145954495836
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.01,0.02,0.012,0.004472135954999579
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.02,0.01,0.007071067811865475
