,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.1022721334149444,0.32877748082479213,0.16832710736622655,0.09226365743271057
sanity.close_values_probability.score,0.43,0.88,0.73,0.17549928774784243
sanity.distant_values_probability.score,0.01,0.12,0.032,0.04919349550499537
stats.jensenshannon_dist.marginal,0.0646154570934763,0.0667890067127748,0.06591953398158082,0.0008404310508539321
stats.chi_squared_test.marginal,0.08576993137876447,0.21936167737995071,0.1881559151682391,0.05733115946211307
stats.inv_kl_divergence.marginal,0.3465265894965297,0.39929900249563455,0.37379812781025745,0.018777468348159285
stats.ks_test.marginal,0.355,0.36625,0.35750000000000004,0.004921254921257393
stats.max_mean_discrepancy.joint,0.03637331218119935,0.061558144436336316,0.048277376537178215,0.009443934809659856
stats.wasserstein_dist.joint,0.3712392889173719,0.3898532827577559,0.38278522096677453,0.008094588397204245
stats.alpha_precision.delta_precision_alpha_OC,0.009999999999999898,0.09933333333333338,0.06613333333333327,0.03346772906680242
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.05733333333333335,0.0232,0.020877420019405343
stats.alpha_precision.authenticity_OC,0.97,1.0,0.994,0.013416407864998748
stats.alpha_precision.delta_precision_alpha_naive,0.35399999999999987,0.3726666666666666,0.36293333333333333,0.006824791409103883
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,0.8,1.0,0.96,0.08944271909999157
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.51,1.0,0.812,0.1984187491140895
stats.prdc.density,0.602,0.61,0.6072,0.003346640106136312
stats.prdc.coverage,0.07,0.14,0.10800000000000001,0.031144823004794875
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,-1.2364623059367124,-0.20326214393315212,-0.6751463498349864,0.4302105734688676
performance.linear_model.syn_ood,-1.558006077595864,-0.33638489545384104,-0.8948559253742513,0.5246766609792424
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.4074857534795577,-2.406564182247292,-2.4070997149822606,0.0003768608044764084
performance.mlp.syn_ood,-5.422682408134773,-5.420243729358685,-5.42150618021263,0.0009029168413590764
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,-2.4337487534040148,-0.87220374762517,-1.9048197732226195,0.6310624713863328
performance.xgb.syn_ood,-3.146413828838578,-1.099573576614345,-2.4636359940395733,0.8233556129541011
performance.feat_rank_distance.corr,-0.34641016151377546,0.20225995873897262,-0.19823608338994508,0.22939157197942706
performance.feat_rank_distance.pvalue,0.310165067516987,0.5647308224960852,0.42527074365670847,0.11361810542726383
detection.detection_xgb.mean,1.0,1.0,1.0,0.0
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.21275,0.335,0.26305,0.04889446543321647
detection.detection_linear.mean,0.985,0.999,0.9942,0.0057211231414819284
privacy.delta-presence.score,0.8199999999180001,42.99999957000001,29.763999703983604,19.230144889899996
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,100.0,20.8,44.274145954495836
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.01,0.01,0.01,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.01,0.008,0.00447213595499958
