,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.023257944947260946,0.03334483731013426,0.029331206202539227,0.005015291634550595
sanity.close_values_probability.score,0.96,0.98,0.974,0.008944271909999166
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.009786107820846265,0.012734127888088214,0.011102426538402103,0.001439029784110069
stats.chi_squared_test.marginal,0.20995555235260427,0.36545189236718895,0.32461488800592275,0.06472164694554795
stats.inv_kl_divergence.marginal,0.6952324678052464,0.8119470444586839,0.772047091478455,0.04813162264849902
stats.ks_test.marginal,0.8999999999999999,0.92625,0.91325,0.011943879185591285
stats.max_mean_discrepancy.joint,0.020200000000000003,0.02020366312777775,0.02020073262555596,1.6382005440342315e-06
stats.wasserstein_dist.joint,0.03213019755755558,0.0506960651052572,0.04215446777235156,0.008436822811318698
stats.alpha_precision.delta_precision_alpha_OC,0.8475402298850574,0.9350344827586207,0.9011402298850575,0.03561324153529985
stats.alpha_precision.delta_coverage_beta_OC,0.44400000000000006,0.6165977011494252,0.543319540229885,0.07335700371058039
stats.alpha_precision.authenticity_OC,0.43,0.54,0.47800000000000004,0.04919349550499538
stats.alpha_precision.delta_precision_alpha_naive,0.76,0.8874712643678161,0.8188275862068967,0.04750832930010036
stats.alpha_precision.delta_coverage_beta_naive,0.4920000000000001,0.5893333333333333,0.5569333333333333,0.03865976949980138
stats.alpha_precision.authenticity_naive,0.42,0.51,0.466,0.033615472627943226
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.94,1.0,0.968,0.023874672772626667
stats.prdc.density,1.034,1.084,1.066,0.02088061301782112
stats.prdc.coverage,0.96,0.98,0.9739999999999999,0.008944271909999166
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,0.46217715711336016,0.5015615012948862,0.48734278664194763,0.015789718846608805
performance.linear_model.syn_ood,0.3600072451370057,0.4639300422203535,0.41712424113616653,0.03936303178871516
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.415164697193352,-2.4040728011105488,-2.4103153950107563,0.0051328620938689284
performance.mlp.syn_ood,-5.436177317499329,-5.412591746725279,-5.42585170519551,0.010740809541328512
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,0.5649902859293746,0.6404055608396949,0.615526518991343,0.02995466895954887
performance.xgb.syn_ood,0.5591151997836057,0.6322271294904817,0.5869676736769002,0.02971224646349089
performance.feat_rank_distance.corr,0.6,1.0,0.8800000000000001,0.16431676725154984
performance.feat_rank_distance.pvalue,0.00212511703620203,0.0652853035256509,0.01618437429101582,0.027506169965413284
detection.detection_xgb.mean,0.475,0.5667500000000001,0.5168999999999999,0.04034096862991767
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.5,0.522,0.5061500000000001,0.009383496150156415
detection.detection_linear.mean,0.4325,0.546,0.5077,0.045393556811512366
privacy.delta-presence.score,2.999999994,6.999999930000001,4.149999975925001,1.6163229618334334
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,4.00000001,2.00000001,1.4142135623730951
privacy.k-map.score,1.0,2.0,1.2,0.4472135954999579
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,4.00000001,2.00000001,1.4142135623730951
privacy.identifiability_score.,0.45,0.56,0.53,0.0452769256906871
privacy.identifiability_score._privacy.identifiability_score.OC,0.55,0.59,0.57,0.015811388300841858
