,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.024166013307532853,0.05133966179199875,0.036198612612360334,0.0127617421128297
sanity.close_values_probability.score,0.93,0.98,0.9620000000000001,0.024899799195977453
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.008648388539815309,0.015575680286521829,0.012465196823799127,0.002670567026667912
stats.chi_squared_test.marginal,0.22810950158768825,0.24999730350554278,0.23908848302847807,0.008886231628375449
stats.inv_kl_divergence.marginal,0.6410132522768601,0.7747777695658087,0.7258233216842539,0.05942633239894027
stats.ks_test.marginal,0.8675,0.91875,0.893,0.022195861100664665
stats.max_mean_discrepancy.joint,0.020200000000000003,0.020200000000000797,0.020200000000000162,3.553135476169202e-16
stats.wasserstein_dist.joint,0.039623878117132874,0.05128869517649513,0.04635250431229274,0.0055253171465433765
stats.alpha_precision.delta_precision_alpha_OC,0.8428735632183908,0.9465287356321839,0.87816091954023,0.042704350060275474
stats.alpha_precision.delta_coverage_beta_OC,0.3893333333333333,0.5353333333333333,0.4634666666666666,0.056054338716007415
stats.alpha_precision.authenticity_OC,0.49,0.59,0.542,0.038987177379235835
stats.alpha_precision.delta_precision_alpha_naive,0.74,0.9135862068965517,0.8370436781609195,0.07503499795574761
stats.alpha_precision.delta_coverage_beta_naive,0.42000000000000004,0.5099999999999999,0.44960000000000006,0.03707829553795583
stats.alpha_precision.authenticity_naive,0.54,0.63,0.5820000000000001,0.04266145801540307
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.89,1.0,0.95,0.04242640687119285
stats.prdc.density,0.9720000000000001,1.05,1.0124,0.02971195045768619
stats.prdc.coverage,0.93,1.0,0.97,0.02915475947422649
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,0.39397855189282066,0.4576159698891882,0.42930551850800425,0.027133712359946587
performance.linear_model.syn_ood,0.23510321548149965,0.40073450753671536,0.35354145776850193,0.06903307923917582
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.413418852575674,-2.4020740706747916,-2.406862272358988,0.005756425339289737
performance.mlp.syn_ood,-5.432202115663015,-5.40807528910944,-5.418311915577913,0.012153673608730032
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,0.561520769177046,0.6227101928295822,0.6015495007160838,0.026676604605682032
performance.xgb.syn_ood,0.516842709478605,0.6520173639754447,0.582459201294438,0.04817643827232189
performance.feat_rank_distance.corr,0.7,1.0,0.8800000000000001,0.16431676725154987
performance.feat_rank_distance.pvalue,0.00212511703620203,0.031514421132600307,0.013880838674761337,0.016097184802976318
detection.detection_xgb.mean,0.6289999999999999,0.7464999999999999,0.6910000000000001,0.04227440123762845
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.48125,0.5325,0.50785,0.01831972980150088
detection.detection_linear.mean,0.526,0.5854999999999999,0.5506,0.024462726749076815
privacy.delta-presence.score,1.363636362396694,3.749999990625,2.652727267102672,1.067672021702135
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.8000000100000002,0.8366600265340756
privacy.k-map.score,1.0,5.0,2.0,1.7320508075688772
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.8000000100000002,0.8366600265340756
privacy.identifiability_score.,0.41,0.55,0.46399999999999997,0.05727128425310544
privacy.identifiability_score._privacy.identifiability_score.OC,0.45,0.53,0.48200000000000004,0.03271085446759226
