,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.022764949687387223,0.02800534899041442,0.025103269763334508,0.002380481007453182
sanity.close_values_probability.score,0.97,0.98,0.978,0.004472135954999584
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.009020753822556491,0.011419514919378811,0.010303687972837743,0.0009502753320123177
stats.chi_squared_test.marginal,0.23962160129128665,0.37217760269814026,0.34260153503140817,0.057636266634765884
stats.inv_kl_divergence.marginal,0.731451827105227,0.7946644449890596,0.7745930616476636,0.026562561909889638
stats.ks_test.marginal,0.91625,0.93625,0.92225,0.008168154626352286
stats.max_mean_discrepancy.joint,0.020200000000000003,0.020200000000000003,0.020200000000000003,0.0
stats.wasserstein_dist.joint,0.03853884996733879,0.04643563553503169,0.042043157019767005,0.0030466824718557244
stats.alpha_precision.delta_precision_alpha_OC,0.8837701149425288,0.9344597701149425,0.9093057471264367,0.020009493056863132
stats.alpha_precision.delta_coverage_beta_OC,0.3420000000000001,0.5186666666666666,0.4206390804597701,0.07259134481865985
stats.alpha_precision.authenticity_OC,0.54,0.63,0.576,0.03507135583350034
stats.alpha_precision.delta_precision_alpha_naive,0.8729885057471265,0.9305517241379311,0.8938758620689654,0.021786479909120086
stats.alpha_precision.delta_coverage_beta_naive,0.3606666666666666,0.4826666666666667,0.42119999999999996,0.051672902849451904
stats.alpha_precision.authenticity_naive,0.51,0.66,0.5999999999999999,0.061644140029689785
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.93,0.99,0.9559999999999998,0.024083189157584582
stats.prdc.density,1.018,1.094,1.0619999999999998,0.030166206257996736
stats.prdc.coverage,0.92,1.0,0.968,0.03271085446759224
performance.linear_model.gt,0.12692163703962017,0.12692163703962017,0.12692163703962017,0.0
performance.linear_model.syn_id,0.4329569066237113,0.47352193166633166,0.45783964169075286,0.016123205559475516
performance.linear_model.syn_ood,0.3538397292585518,0.42242648881572264,0.3897940509393836,0.030177134311959626
performance.mlp.gt,-2.406291952754642,-2.406291952754642,-2.406291952754642,0.0
performance.mlp.syn_id,-2.4134552651047274,-2.4011203091698206,-2.4081822751690742,0.005678537376275734
performance.mlp.syn_ood,-5.432351732078409,-5.405921786330027,-5.420992106255719,0.012019706488325094
performance.xgb.gt,0.4112090722852516,0.4112090722852516,0.4112090722852516,0.0
performance.xgb.syn_id,0.5425408373877028,0.6367947321659152,0.5784349466262967,0.03832323395665285
performance.xgb.syn_ood,0.521250380600238,0.6538553848085029,0.5839864333620601,0.05346133933621408
performance.feat_rank_distance.corr,0.6,1.0,0.8800000000000001,0.1788854381999832
performance.feat_rank_distance.pvalue,0.00212511703620203,0.0652853035256509,0.017128475797617216,0.02740567652808309
detection.detection_xgb.mean,0.6085,0.716,0.6705,0.04036861404606303
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.46274999999999994,0.54,0.5042500000000001,0.029671640500653174
detection.detection_linear.mean,0.506,0.5589999999999999,0.5289999999999999,0.020099751242241753
privacy.delta-presence.score,1.749999995625,2.999999994,2.345238090161961,0.4604542756463547
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.8000000100000002,0.8366600265340756
privacy.k-map.score,1.0,2.0,1.4,0.5477225575051661
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.8000000100000002,0.8366600265340756
privacy.identifiability_score.,0.42,0.48,0.442,0.022803508501982758
privacy.identifiability_score._privacy.identifiability_score.OC,0.39,0.57,0.47000000000000003,0.06670832032063165
