,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
152,3,2.0,1580.0,0,1281.0,1,98122,950000
491,3,1.0,1230.0,0,5000.0,1,98103,750000
338,3,2.0,2437.0,0,6500.0,1,98118,1275000
60,5,4.0,3630.0,0,0.45,0,98136,1650000
350,5,3.5,3930.0,0,7650.0,1,98133,1800000
66,3,2.0,2160.0,0,4590.0,1,98117,980000
291,3,2.5,2190.0,0,4000.0,1,98122,1440000
229,3,2.0,1678.0,0,1191.0,1,98103,1160000
177,3,2.5,1820.0,0,1690.0,1,98107,1025000
46,2,1.5,1131.0,0,1.0,0,98144,699950
296,2,2.0,1120.0,0,1162.0,1,98115,710000
404,2,1.5,1290.0,0,1332.0,1,98115,700000
281,5,2.0,2640.0,0,6180.0,1,98118,720000
341,3,2.0,2425.0,0,5000.0,1,98117,1275000
91,3,2.5,1800.0,0,1436.0,1,98144,1000000
195,2,2.0,1720.0,0,5150.0,1,98108,720000
414,4,2.5,1530.0,0,2880.0,1,98118,725000
409,4,3.5,3310.0,0,4982.0,1,98112,2100000
115,2,2.0,1170.0,0,900.0,1,98118,565000
485,3,2.0,2284.0,0,6395.0,1,98136,850000
114,2,1.0,1700.0,0,5778.0,1,98118,730000
81,3,2.0,1419.0,0,1.0,0,98144,849950
205,4,2.0,1220.0,0,2280.0,1,98103,715000
68,2,1.0,880.0,0,5000.0,1,98103,590000
460,2,2.5,895.0,0,1416.0,1,98122,675000
267,2,1.0,990.0,0,4800.0,1,98108,730000
65,4,2.0,1830.0,0,5700.0,1,98115,889000
444,2,1.5,860.0,0,1101.0,1,98115,700000
211,3,2.0,2080.0,0,6769.0,1,98108,800000
323,2,1.5,1020.0,0,1248.0,1,98103,705000
141,5,3.0,2180.0,0,6800.0,1,98117,850000
127,3,2.0,1355.0,0,1056.0,1,98103,850000
102,3,2.0,1720.0,0,5400.0,1,98117,985000
391,2,2.0,1015.0,0,2.02,0,98115,468000
358,3,2.5,1580.0,0,2460.0,1,98115,900000
334,2,1.5,1290.0,0,1426.0,1,98122,705000
148,3,2.0,2140.0,0,8160.0,1,98105,925000
13,3,2.0,1320.0,0,1132.0,1,98122,845000
431,5,2.0,2630.0,0,6180.0,1,98118,700000
120,3,1.5,1710.0,0,1250.0,1,98122,1000000
469,3,2.0,2080.0,0,6760.0,1,98118,800000
382,3,2.0,1300.0,0,2250.0,1,98103,699950
441,3,2.0,1390.0,0,8.4,0,98106,590000
16,2,2.5,1119.0,0,1248.0,1,98103,705000
201,2,1.0,1100.0,0,5565.0,1,98103,850000
472,4,3.0,1790.0,0,2240.0,1,98106,850000
397,2,1.5,1700.0,0,8507.0,1,98108,700000
22,5,3.0,2860.0,0,6800.0,1,98117,1300000
8,4,2.0,1780.0,0,6280.0,1,98136,1050000
386,3,2.0,1200.0,0,850.0,1,98116,705000
135,3,2.0,1560.0,0,2497.0,1,98117,865000
273,3,1.5,1390.0,0,4800.0,1,98117,850000
470,3,3.0,2080.0,0,2079.0,1,98118,780000
451,4,4.0,2990.0,0,5586.0,1,98115,2100000
138,2,3.0,1760.0,0,6150.0,1,98106,850000
0,3,1.0,940.0,0,4850.0,1,98126,500000
422,3,2.0,1190.0,0,1374.0,1,98103,725000
366,4,4.0,2160.0,0,4000.0,1,98102,1000000
129,3,2.0,1711.0,0,1171.0,1,98125,675500
277,3,2.0,1390.0,0,4800.0,1,98117,850000
489,4,2.0,3360.0,0,9380.0,1,98105,1600000
403,3,2.5,2130.0,0,7080.0,1,98118,1525000
197,2,1.0,1131.0,0,1.59,0,98103,699950
105,4,2.0,2560.0,0,4000.0,1,98144,1150000
265,4,3.0,1760.0,0,5000.0,1,98118,650000
204,4,2.0,2140.0,0,4239.0,1,98117,875000
108,2,2.0,1320.0,0,5400.0,1,98103,899000
103,3,1.5,1940.0,0,5507.0,1,98117,800000
171,3,2.0,1060.0,0,5000.0,1,98106,575000
418,4,3.5,2478.0,0,2761.0,1,98115,1580000
378,3,1.0,940.0,0,4850.0,1,98126,500000
