,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
1,4,1.0544772206750863,1579,0,3075.926069308247,1,98116,667828
295,2,2.5148215410243826,1542,0,1095.475267246042,1,98114,1409662
283,2,1.1535180083113583,1613,0,2978.8366340971675,1,98116,1167257
72,3,2.0367774206679865,1748,0,5384.23436545881,1,98116,985122
89,2,1.095569398073665,1528,0,7857.122125660641,1,98115,654810
225,1,1.7412255397730896,935,0,666.7752611495207,1,98141,842587
258,2,2.5919510950933957,1682,0,970.6969279650884,1,98117,1549982
67,2,1.915598590662584,1090,0,5148.774033459035,1,98105,1152350
244,3,2.5451498865933955,2603,0,0.23,1,98134,644712
130,1,2.6097794240002883,969,0,1489.1340010509389,1,98102,862292
286,5,3.0823668766053043,2642,0,6844.740193185082,1,98138,2141583
211,5,5.291977785587807,2964,0,7066.253555072809,0,98163,541606
154,2,1.9986508017461029,1683,0,3526.523819847249,1,98108,740740
288,2,1.0978774099520452,1081,0,3463.424189620884,1,98114,806219
115,4,2.5069115972804417,2733,0,7082.452151395988,1,98186,1352871
126,2,2.934456641235107,2451,0,6109.561320079285,1,98120,1019305
186,3,4.163158643564419,2340,0,4609.653941453634,1,98115,2088417
92,2,2.151893337000962,1789,0,4371.764321453379,1,98108,868222
165,7,5.271792889071092,3444,0,4703.729685343943,0,98113,1916924
142,2,3.5014738682936737,1837,0,0.23,1,98108,745354
240,8,5.956739945559701,1936,0,0.23,0,98116,1277194
21,1,1.941400436123886,1154,0,3692.540554264712,1,98115,621426
252,1,1.0249644108063862,973,0,7249.09686944967,1,98113,846883
22,2,2.55406968850237,1449,0,6850.364740476907,1,98144,678761
63,2,2.484097218937096,1042,0,1587.325346759956,1,98101,810214
53,2,1.8442703454754463,1512,0,2809.624861357448,1,98119,579828
202,1,3.713570836984048,1475,0,0.23,0,98138,762006
321,3,3.233225284257645,2420,0,4703.2570955904375,1,98117,1471555
309,1,2.540500067803644,1315,0,1602.9769020191134,1,98104,711878
222,2,2.1563936576539477,2117,0,2463.310420727594,1,98105,1357807
249,3,2.087789250318043,2098,0,7878.913599855432,1,98168,1283540
242,3,1.0054911799786834,1575,0,7619.564685921819,1,98138,814286
4,5,5.7432571651323645,3104,0,6674.838248212252,1,98105,932334
