,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
174,4,3.0,2676,0,0.2858675148476297,0,98118,1699431
224,3,2.0,1546,0,4097.016382505985,1,98116,746872
189,3,2.0,1442,0,0.3816682571162873,0,98107,711644
250,2,3.0,1429,0,1040.290274480082,1,98109,920074
190,3,2.0,3004,0,5967.703375645805,1,98103,1301146
16,3,1.131612321907137,2188,0,4631.515449898032,1,98145,1219337
126,3,1.0,1470,0,0.2364124823307291,0,98144,532171
68,2,2.0,1106,0,4076.1995506797175,1,98103,737603
261,4,2.5,2478,0,4997.251734444806,1,98104,1833678
191,3,1.0,1372,0,6162.307023420635,1,98108,665224
238,1,1.0,667,0,452.8033607316625,0,98102,378730
175,4,3.4656636369505445,3209,0,5792.579368453296,1,98144,936877
266,4,2.0,2013,0,9597.818913135494,1,98115,1025400
43,4,3.5,1789,0,6078.079861818712,1,98117,629354
275,4,2.0,1736,0,893.6308828044453,1,98119,1086168
271,2,2.236425487608705,1254,0,420.8557786049153,1,98115,788551
276,4,3.63120484776292,3385,0,7573.742479474237,1,98115,1505063
46,3,3.0,2753,0,3100.9823588037334,1,98105,1490794
109,2,1.3055036344266622,1457,0,8230.790093388308,1,98126,912108
13,3,3.0,1786,0,776.2881051299436,1,98136,963312
94,3,1.0,1349,0,8583.069718896631,1,98177,536482
25,1,1.5,519,0,7476.883548762133,1,98104,365526
184,2,1.0,534,0,8200.819946210879,1,98134,442790
34,2,2.0,1247,0,3900.0269161043184,1,98149,675549
321,3,2.0,1888,0,2835.2194689826792,1,98115,1368965
3,1,1.0,1001,0,0.7499735769041165,0,98126,843803
244,4,3.3345680528229344,2675,0,1402.1076665281405,1,98107,1320363
237,4,3.5,1929,0,6954.517786828238,1,98144,981705
89,3,1.8320507098239656,1701,0,6802.661425997659,1,98126,624970
12,14,8.999900097671617,9909,0,8646.855883967359,1,98196,1392553
256,3,4.275998057291785,1465,0,986.5812181044104,1,98123,752186
236,3,3.5152520078460343,3687,0,5151.4949379248665,1,98199,2341181
47,2,1.0,998,0,1502.2568108110345,1,98106,591822
217,1,1.0,850,0,3982.141740218012,1,98118,267839
290,2,1.0279090752277125,1342,0,3831.593631990761,1,98104,849360
223,4,2.0,1784,0,7962.304414571412,1,98171,928076
307,4,2.0,3907,0,0.2300195439091876,0,98145,1730937
228,2,3.0,1890,0,1132.0327880139248,1,98113,1037192
123,2,1.55393781790965,997,0,648.494205714621,1,98103,586657
214,3,1.954858079275149,1119,0,1391.3302866286267,1,98118,694569
315,3,2.0,2416,0,0.823483003453122,0,98199,760242
127,4,2.5,2449,0,9530.683603437126,1,98119,841783
168,5,7.1114127986224265,3093,0,5444.231000590892,1,98125,1116417
131,4,3.5,2112,0,1505.6960357436355,1,98117,1029596
289,4,2.5382559373534344,2606,0,5499.056709126874,1,98111,728037
172,3,2.0,1963,0,3178.264447192106,1,98115,802623
54,1,1.0,676,0,2904.493424248929,1,98107,386117
77,5,3.0,3067,0,4653.660562128683,1,98116,1481549
83,3,3.5,1588,0,1017.13750082632,1,98105,715448
117,3,2.0,1872,0,7675.490159956742,1,98171,619398
125,4,2.0,2407,0,4582.510429988895,1,98106,814723
258,2,2.0,1272,0,626.842333264347,1,98132,1054636
72,1,1.0,1011,0,7868.347065007403,1,98122,578967
195,3,1.0,1386,0,5265.808498464082,1,98122,598028
272,1,1.0,1194,0,6205.950205635239,1,98107,624418
112,3,1.5702195815514222,1310,0,5000.095087340655,1,98106,750205
147,3,1.5,1353,0,8872.012743324207,1,98199,401674
19,3,2.5,1698,0,7544.854413269459,1,98118,912607
9,3,2.5,1523,0,853.8317208577456,1,98116,1037730
180,5,5.12460543441769,5753,0,975.2193862940924,0,98117,2578702
149,3,1.3074842540058036,1063,0,7510.972237619044,1,98119,796209
226,1,8.987871149436682,250,0,0.23,0,98101,159000
10,5,2.0,2102,0,6143.868073056057,1,98122,615231
278,2,1.5,871,0,4565.523116170183,1,98117,418430
220,3,2.792044769098436,2280,0,4469.255319662303,1,98117,1184555
67,4,2.937184235778969,2624,0,5000.06313333492,1,98117,1482162
120,4,3.0,1735,0,1843.608762395244,1,98103,794073
235,3,2.1285619782758167,1252,0,839.2504465485055,1,98107,466515
115,3,1.2741305693799228,998,0,8489.680715786862,1,98125,844975
252,15,9.0,11010,0,0.23,0,98199,15736400
20,3,2.0,1273,0,0.2339984737151469,0,98105,541269
116,1,1.8835970393026025,912,0,350.06604842640303,1,98116,793636
17,3,2.0,2060,0,2361.1345156378534,1,98103,1334200
113,3,1.0,827,0,3825.1772367087256,1,98107,704318
292,5,2.6715323365311088,3007,0,6219.191078862129,1,98116,1170178
298,2,2.0,1254,0,4229.161071525541,1,98105,784219
99,4,3.774971940608125,1999,0,4063.8509007581583,1,98158,968825
15,4,2.0,2987,0,943.089020659657,0,98175,1101562
96,1,2.0,1067,0,838.120550056653,1,98117,939534
138,3,3.5,2250,0,1289.2847750115095,1,98105,1228667
183,4,3.5,2269,0,3830.057336176484,1,98195,730899
159,2,1.0,1047,0,2280.177016932325,1,98145,777567
302,2,2.0,1509,0,1425.705846846312,1,98116,751844
304,3,2.5,2489,0,0.2615010906237719,0,98122,913168
37,9,5.860112873927418,4731,0,7186.410925803792,1,98108,1498569
318,3,2.0,2504,0,4531.607336723676,1,98120,667176
95,3,2.0,1865,0,1465.1768243664562,1,98102,1146080
199,15,9.0,11010,0,0.23,0,98199,204472
277,1,1.4956507264779224,799,0,0.2667605212169991,0,98144,507054
45,3,3.0,2307,0,7382.598009709901,1,98115,1104295
141,4,2.0,1892,0,5088.213433477556,1,98117,676754
308,3,2.5,1383,0,4699.902036328136,1,98115,811597
187,4,3.5,3072,0,5499.041141950833,1,98103,2043853
196,3,3.5,1736,0,1680.949074312427,1,98115,1159225
132,2,2.0,1057,0,1110.6467669554545,1,98124,586507
101,4,2.0,1703,0,1580.950809503453,1,98123,846941
198,4,3.0,2592,0,5153.3222515412535,1,98105,1141313
65,1,1.0,799,0,0.2889802597323346,0,98124,694948
134,1,2.0,1009,0,2193.4328152867347,1,98115,898949
284,5,2.5,2978,0,8429.587832366291,1,98126,999954
