,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
263,4.0,3.0,1800.0,0.0,2500.0,1.0,98144.0,950000.0
486,4.0,3.0,2500.0,0.0,5500.0,1.0,98105.0,1300000.0
302,4.0,1.5,1600.0,0.0,7900.0,1.0,98126.0,575000.0
192,3.0,2.5,1600.0,0.0,2000.0,1.0,98122.0,920000.0
325,3.0,1.0,1400.0,0.0,6000.0,1.0,98122.0,810000.0
396,4.0,3.0,2600.0,0.0,4300.0,1.0,98144.0,950000.0
269,2.0,2.0,1100.0,0.0,1100.0,1.0,98117.0,660000.0
410,3.0,2.5,2150.0,0.0,5000.0,1.0,98115.0,1550000.0
136,3.0,2.0,1400.0,0.0,5000.0,1.0,98107.0,790000.0
11,2.0,1.0,1100.0,0.0,5000.0,1.0,98108.0,950000.0
194,3.0,1.0,1000.0,0.0,6000.0,1.0,98133.0,690000.0
161,4.0,3.0,2500.0,0.0,7500.0,1.0,98117.0,1200000.0
345,3.0,2.0,1800.0,0.0,4000.0,1.0,98199.0,875000.0
230,3.0,2.5,1800.0,0.0,5000.0,1.0,98103.0,950000.0
196,3.0,2.0,1750.0,0.0,3500.0,1.0,98121.0,980000.0
291,5.0,6.0,4000.0,0.0,5000.0,1.0,98119.0,2200000.0
368,3.0,1.0,1450.0,0.0,2300.0,1.0,98103.0,1000000.0
216,4.0,3.0,2400.0,0.0,5100.0,1.0,98117.0,1300000.0
245,3.0,3.0,1600.0,0.0,7500.0,1.0,98116.0,1400000.0
280,3.0,2.5,1350.0,0.0,1500.0,1.0,98103.0,720000.0
114,2.0,2.0,1100.0,0.0,1500.0,1.0,98118.0,780000.0
288,7.0,5.0,2600.0,0.0,3100.0,1.0,98103.0,740000.0
385,2.0,1.5,2200.0,0.0,4500.0,1.0,98125.0,740000.0
5,1.0,1.0,500.0,0.0,8500.0,1.0,98108.0,1200000.0
377,2.0,1.5,1200.0,0.0,600.0,1.0,98144.0,630000.0
151,5.0,4.0,3500.0,0.0,6000.0,1.0,98109.0,1900000.0
239,2.0,1.5,1100.0,0.0,4600.0,1.0,98112.0,695000.0
117,5.0,4.0,3200.0,0.0,6000.0,1.0,98117.0,1750000.0
442,2.0,1.5,1300.0,0.0,2000.0,1.0,98122.0,670000.0
281,4.0,3.0,1900.0,0.0,8200.0,1.0,98146.0,710000.0
303,1.0,1.0,550.0,0.0,1.2,0.0,98121.0,430000.0
418,3.0,2.0,1720.0,0.0,1200.0,1.0,98103.0,1180000.0
352,2.0,2.5,1200.0,0.0,5800.0,1.0,98144.0,640000.0
137,2.0,1.5,1500.0,0.0,6500.0,1.0,98178.0,500000.0
247,4.0,3.0,2100.0,0.0,5000.0,1.0,98115.0,1300000.0
391,2.0,1.5,1200.0,0.0,5000.0,1.0,98119.0,850000.0
261,5.0,3.0,2100.0,0.0,0.35,0.0,98118.0,1350000.0
45,2.0,2.0,1150.0,0.0,3500.0,1.0,98118.0,680000.0
203,3.0,2.0,1900.0,0.0,4500.0,1.0,98117.0,790000.0
285,3.0,1.5,1300.0,0.0,4100.0,1.0,98144.0,760000.0
490,3.0,2.5,1400.0,0.0,4000.0,1.0,98122.0,750000.0
108,3.0,2.0,1300.0,0.0,2500.0,1.0,98107.0,800000.0
438,2.0,2.0,1080.0,0.0,6900.0,1.0,98133.0,640000.0
85,4.0,3.5,2800.0,0.0,0.3,0.0,98117.0,1400000.0
440,2.0,2.0,1500.0,0.0,1000.0,1.0,98103.0,950000.0
265,3.0,2.5,1300.0,0.0,6200.0,1.0,98117.0,830000.0
185,3.0,1.0,1600.0,0.0,3800.0,1.0,98108.0,710000.0
191,2.0,1.0,850.0,0.0,4000.0,1.0,98108.0,650000.0
419,3.0,0.5,2000.0,0.0,3800.0,1.0,98103.0,910000.0
65,3.0,2.0,1950.0,0.0,4800.0,1.0,98120.0,920000.0
497,3.0,2.0,1700.0,0.0,4800.0,1.0,98116.0,950000.0
71,3.0,2.5,1800.0,0.0,2500.0,1.0,98103.0,850000.0
349,2.0,1.5,1300.0,0.0,2000.0,1.0,98103.0,780000.0
10,3.0,2.0,1400.0,0.0,1800.0,1.0,98103.0,600000.0
