,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
258,1.0,1.0,440.0,0.0,0.25,0.0,98199.0,795000.0
1889,3.0,2.0,2600.0,0.0,4800.0,1.0,98110.0,975000.0
1455,3.0,2.0,2200.0,0.0,3800.0,1.0,98126.0,1000000.0
447,4.0,2.5,2300.0,0.0,3800.0,1.0,98115.0,1250000.0
1363,3.0,2.0,1850.0,0.0,1.42,0.0,98115.0,825000.0
1471,4.0,3.0,3200.0,0.0,4200.0,1.0,98117.0,1850000.0
1712,3.0,1.5,1680.0,0.0,7200.0,1.0,98106.0,525000.0
1787,2.0,1.0,1000.0,0.0,3800.0,1.0,98121.0,625000.0
533,3.0,1.5,1200.0,0.0,3800.0,1.0,98109.0,675000.0
732,4.0,3.0,2800.0,0.0,6000.0,1.0,98112.0,1750000.0
1111,3.0,2.0,1900.0,0.0,3200.0,1.0,98115.0,825000.0
810,3.0,2.0,1920.0,0.0,5000.0,1.0,98107.0,1050000.0
1328,2.0,2.0,1200.0,0.0,0.75,0.0,98101.0,580000.0
1001,2.0,2.0,1490.0,0.0,850.0,1.0,98107.0,739000.0
1044,3.0,2.0,1400.0,0.0,4800.0,1.0,98107.0,920000.0
1212,5.0,3.0,3120.0,0.0,4920.0,1.0,98112.0,2200000.0
1622,3.0,3.0,2000.0,0.0,2500.0,1.0,98107.0,1200000.0
1048,4.0,3.0,2400.0,0.0,5500.0,1.0,98122.0,1400000.0
1337,2.0,2.0,1600.0,0.0,3200.0,1.0,98109.0,850000.0
246,3.0,1.5,1500.0,0.0,4800.0,1.0,98108.0,925000.0
680,3.0,2.0,1930.0,0.0,4862.0,1.0,98108.0,829000.0
307,3.0,2.0,2100.0,0.0,4000.0,1.0,98107.0,1150000.0
568,3.0,1.5,1900.0,0.0,0.3,0.0,98116.0,850000.0
468,5.0,5.0,3800.0,0.0,10000.0,1.0,98115.0,2200000.0
1992,4.0,3.0,2420.0,0.0,4050.0,1.0,98112.0,1200000.0
245,4.0,2.5,2800.0,0.0,0.42,0.0,98119.0,1600000.0
1026,4.0,3.5,2800.0,0.0,5000.0,1.0,98108.0,1050000.0
2034,5.0,3.5,2600.0,0.0,3800.0,1.0,98109.0,1000000.0
314,1.0,1.0,960.0,0.0,1.1,0.0,98101.0,1850000.0
1800,3.0,2.0,1920.0,0.0,8120.0,1.0,98112.0,1150000.0
322,3.0,2.0,1315.0,0.0,0.29,0.0,98115.0,625000.0
1420,3.0,2.0,1980.0,0.0,3800.0,1.0,98112.0,1180000.0
645,4.0,2.5,2040.0,0.0,8200.0,1.0,98116.0,1290000.0
59,4.0,2.0,2200.0,0.0,4500.0,1.0,98144.0,1050000.0
815,4.0,2.5,2200.0,0.0,5500.0,1.0,98103.0,1200000.0
725,4.0,3.5,2410.0,0.0,3500.0,1.0,98115.0,1100000.0
384,3.0,2.5,2000.0,0.0,4200.0,1.0,98119.0,1050000.0
1713,2.0,1.0,920.0,0.0,0.25,0.0,98119.0,395000.0
1121,4.0,3.0,2820.0,0.0,6000.0,1.0,98112.0,1200000.0
1797,3.0,2.5,2800.0,0.0,4200.0,1.0,98109.0,1400000.0
1067,4.0,3.0,3800.0,0.0,11000.0,1.0,98125.0,2200000.0
48,4.0,3.0,2000.0,0.0,9500.0,1.0,98107.0,1220000.0
429,3.0,2.0,1600.0,0.0,2800.0,1.0,98111.0,875000.0
346,4.0,3.5,2760.0,0.0,5000.0,1.0,98115.0,1600000.0
1056,4.0,2.5,2200.0,0.0,3500.0,1.0,98109.0,1150000.0
1742,2.0,2.0,1050.0,0.0,850.0,1.0,98107.0,625000.0
962,4.0,3.0,2000.0,0.0,6800.0,1.0,98118.0,849000.0
684,4.0,2.0,2510.0,0.0,6980.0,1.0,98199.0,1050000.0
605,4.0,2.5,2700.0,0.0,4200.0,1.0,98119.0,1850000.0
1141,2.0,1.5,1300.0,0.0,3500.0,1.0,98109.0,625000.0
75,3.0,1.5,1930.0,0.0,3500.0,1.0,98109.0,1100000.0
1409,2.0,2.0,1300.0,0.0,560.0,1.0,98146.0,795000.0
224,5.0,3.5,3000.0,0.0,7500.0,1.0,98118.0,1400000.0
49,2.0,2.0,1800.0,0.0,6000.0,1.0,98103.0,875000.0
624,2.0,2.0,1200.0,0.0,2800.0,1.0,98118.0,675000.0
716,3.0,2.5,2060.0,0.0,4420.0,1.0,98117.0,1100000.0
656,2.0,2.0,1300.0,0.0,4000.0,1.0,98102.0,650000.0
1767,2.0,1.5,1600.0,0.0,5000.0,1.0,98117.0,725000.0
1289,4.0,3.5,2860.0,0.0,5230.0,1.0,98115.0,1415000.0
1207,5.0,4.5,2600.0,0.0,7500.0,1.0,98117.0,2200000.0
379,2.0,2.0,1300.0,0.0,0.6,0.0,98111.0,675000.0
2038,6.0,5.0,4200.0,0.0,5500.0,1.0,98111.0,1300000.0
1723,3.0,2.0,1480.0,0.0,3050.0,1.0,98117.0,815000.0
718,2.0,2.0,1590.0,0.0,2010.0,1.0,98107.0,850000.0
1052,2.0,1.5,900.0,0.0,1000.0,1.0,98107.0,625000.0
940,3.0,2.0,1840.0,0.0,7500.0,1.0,98118.0,899000.0
83,5.0,4.0,3050.0,0.0,0.35,0.0,98146.0,3200000.0
1482,3.0,2.0,1800.0,0.0,3800.0,1.0,98122.0,950000.0
758,4.0,3.0,3800.0,0.0,11000.0,1.0,98115.0,1400000.0
1946,4.0,2.5,3120.0,0.0,10500.0,1.0,98102.0,1400000.0
1679,3.0,2.0,1406.0,0.0,731.0,1.0,98144.0,799000.0
541,2.0,1.5,920.0,0.0,3020.0,1.0,98115.0,430000.0
1940,3.0,2.5,1827.0,0.0,4275.0,1.0,98119.0,875000.0
1788,4.0,3.0,2900.0,0.0,5200.0,1.0,98113.0,1300000.0
811,4.0,3.0,2500.0,0.0,9000.0,1.0,98117.0,1400000.0
1158,3.0,1.5,1980.0,0.0,8640.0,1.0,98125.0,825000.0
1832,3.0,2.5,1670.0,0.0,1400.0,1.0,98133.0,875000.0
207,3.0,2.5,1700.0,0.0,3600.0,1.0,98125.0,975000.0
1563,5.0,4.0,3800.0,0.0,6000.0,1.0,98108.0,2200000.0
2043,2.0,1.0,1610.0,0.0,5250.0,1.0,98136.0,725000.0
1285,3.0,2.5,2240.0,0.0,4830.0,1.0,98126.0,1035000.0
662,2.0,1.5,1200.0,0.0,2000.0,1.0,98115.0,525000.0
262,3.0,2.5,1980.0,0.0,5200.0,1.0,98106.0,920000.0
896,4.0,3.5,2310.0,0.0,6200.0,1.0,98178.0,875000.0
1366,3.0,2.0,2080.0,0.0,1.19,0.0,98122.0,850000.0
1006,3.0,2.5,1900.0,0.0,2800.0,1.0,98126.0,950000.0
194,2.0,2.0,1100.0,0.0,1200.0,1.0,98110.0,750000.0
736,3.0,2.0,2000.0,0.0,4000.0,1.0,98116.0,1200000.0
320,3.0,2.5,1732.0,0.0,2678.0,1.0,98118.0,1098000.0
454,3.0,1.5,2200.0,0.0,4000.0,1.0,98102.0,725000.0
916,3.0,2.5,2060.0,0.0,6800.0,1.0,98117.0,1495000.0
1450,3.0,2.5,1874.0,0.0,3050.0,1.0,98119.0,1050000.0
506,4.0,3.5,2600.0,0.0,4200.0,1.0,98115.0,1050000.0
1974,5.0,4.0,3800.0,0.0,9000.0,1.0,98118.0,2200000.0
666,4.0,2.5,2800.0,0.0,5500.0,1.0,98119.0,1300000.0
845,3.0,2.0,1800.0,0.0,3200.0,1.0,98111.0,850000.0
745,3.0,2.0,1800.0,0.0,3800.0,1.0,98115.0,725000.0
1179,3.0,3.0,1880.0,0.0,4100.0,1.0,98103.0,1025000.0
1322,4.0,3.5,2000.0,0.0,3800.0,1.0,98112.0,1100000.0
432,4.0,3.5,2800.0,0.0,6500.0,1.0,98116.0,1400000.0
