,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
1447,2.0,1.5,1050.0,0.0,2500.0,1.0,98117.0,740000.0
2021,5.0,3.0,2800.0,0.0,0.45,0.0,98108.0,1150000.0
1918,4.0,3.0,2150.0,0.0,5800.0,1.0,98177.0,1150000.0
425,3.0,2.0,1900.0,0.0,0.3,0.0,98116.0,780000.0
666,3.0,3.0,1750.0,0.0,4200.0,1.0,98118.0,910000.0
1953,3.0,2.0,1900.0,0.0,5900.0,1.0,98122.0,880000.0
1976,2.0,2.5,1300.0,0.0,2800.0,1.0,98112.0,680000.0
1183,3.0,3.0,1650.0,0.0,4200.0,1.0,98115.0,980000.0
1379,3.0,2.0,1650.0,0.0,4200.0,1.0,98103.0,870000.0
206,2.0,1.5,1050.0,0.0,0.33,0.0,98105.0,710000.0
485,2.0,1.0,1050.0,0.0,2500.0,1.0,98146.0,580000.0
1753,3.0,2.0,1550.0,0.0,5120.0,1.0,98103.0,910000.0
1989,3.0,2.5,1700.0,0.0,2600.0,1.0,98144.0,950000.0
732,3.0,2.5,2200.0,0.0,4500.0,1.0,98119.0,1250000.0
1575,3.0,3.0,1800.0,0.0,5500.0,1.0,98136.0,950000.0
786,5.0,4.5,4200.0,0.0,0.5,0.0,98107.0,2100000.0
584,3.0,2.0,1450.0,0.0,3600.0,1.0,98110.0,790000.0
1600,3.0,2.0,1850.0,0.0,4500.0,1.0,98119.0,975000.0
610,3.0,2.0,1420.0,0.0,0.45,0.0,98122.0,980000.0
1644,5.0,4.0,3200.0,0.0,7500.0,1.0,98118.0,950000.0
954,3.0,2.5,2150.0,0.0,6100.0,1.0,98134.0,1125000.0
860,3.0,2.0,1900.0,0.0,5500.0,1.0,98119.0,975000.0
1866,4.0,2.0,2200.0,0.0,6700.0,1.0,98107.0,1200000.0
1332,2.0,1.5,1100.0,0.0,7500.0,1.0,98177.0,530000.0
1662,2.0,2.0,1000.0,0.0,4200.0,1.0,98118.0,535000.0
2032,4.0,2.5,2300.0,0.0,5200.0,1.0,98118.0,1150000.0
2017,4.0,3.0,2400.0,0.0,7800.0,1.0,98101.0,1300000.0
7,4.0,2.0,1900.0,0.0,6800.0,1.0,98106.0,780000.0
