,state_code,lat,lon,lat_zone,bird
491,8,38.56,-75.7,2,1
147,34,43.28,-76.82,2,2
67,32,35.09,-105.93,2,3
134,44,38.79,-110.26,2,0
392,26,47.08,-111.74,2,7
21,16,37.63,-99.65,2,7
246,14,39.91,-90.19,2,6
378,49,39.62,-80.42,2,6
267,37,42.01,-124.16,2,7
213,24,36.38,-90.01,2,2
367,15,38.85,-86.18,2,6
196,28,47.89,-103.26,2,7
0,16,39.6,-98.05,2,7
381,17,37.23,-83.5,2,6
356,0,57.11,-132.94,2,8
463,34,41.7,-73.93,2,2
363,50,44.24,-104.39,2,7
289,38,40.87,-80.32,2,6
408,11,19.3,-155.51,1,4
272,50,43.21,-105.16,2,7
252,32,33.01,-105.75,2,3
95,45,37.09,-80.63,2,6
292,5,40.32,-104.23,2,5
294,32,34.7,-107.17,2,3
376,37,45.06,-119.35,2,7
104,45,37.98,-79.83,2,6
178,26,47.9,-107.77,2,7
329,45,38.58,-78.25,2,6
414,27,35.34,-78.07,2,6
347,27,35.41,-78.5,2,6
187,0,63.08,-145.02,0,8
109,49,38.7,-80.1,2,6
467,50,44.76,-105.29,2,7
166,34,43.29,-78.76,2,2
489,0,67.68,-158.06,0,8
82,15,38.85,-87.2,2,6
74,49,37.35,-80.94,2,6
455,28,46.58,-102.04,2,7
354,45,37.51,-77.9,2,6
20,16,38.26,-96.42,2,7
135,27,35.06,-78.38,2,6
13,34,43.66,-73.96,2,2
465,38,41.98,-78.09,2,6
62,0,62.71,-152.7,0,8
423,45,36.64,-79.12,2,6
412,35,41.66,-83.93,2,6
495,26,48.51,-114.97,2,7
76,28,47.06,-102.43,2,7
148,16,39.06,-97.39,2,7
442,14,41.31,-87.94,2,6
388,49,38.6,-81.4,2,6
353,16,37.37,-96.8,2,7
229,0,62.22,-147.54,0,8
100,44,39.77,-109.97,2,0
458,15,39.09,-85.73,2,6
123,16,38.16,-96.2,2,7
385,44,39.29,-109.21,2,0
97,15,41.18,-87.13,2,6
432,0,64.6,-164.3,0,8
366,32,34.07,-108.0,2,3
448,14,39.48,-88.27,2,6
440,15,39.68,-86.37,2,6
217,0,63.4,-147.53,0,8
118,37,42.09,-121.02,2,7
417,28,48.49,-99.3,2,7
237,17,36.88,-84.99,2,6
365,11,22.2,-159.59,1,4
110,50,44.19,-109.32,2,7
176,29,41.66,-100.95,2,7
12,45,36.93,-78.07,2,6
295,26,48.03,-104.54,2,7
461,28,46.64,-99.45,2,7
318,16,37.81,-99.23,2,7
409,5,38.82,-102.91,2,5
480,0,62.83,-152.21,0,8
57,15,40.48,-85.62,2,6
179,15,38.95,-85.54,2,6
268,26,46.02,-106.64,2,7
342,27,35.08,-83.23,2,6
446,16,37.7,-101.4,2,7
369,16,38.9,-97.32,2,7
226,5,40.14,-104.41,2,5
173,37,44.2,-121.98,2,7
335,14,41.67,-88.46,2,6
98,5,37.58,-107.73,2,5
245,49,38.71,-81.52,2,6
332,24,39.56,-91.96,2,2
193,8,38.64,-75.7,2,1
111,17,37.33,-87.41,2,6
380,0,62.29,-152.4,0,8
351,44,37.71,-110.62,2,0
54,34,43.21,-78.83,2,2
119,26,48.56,-114.43,2,7
303,27,36.15,-81.77,2,6
420,38,40.65,-75.38,2,6
1,35,40.52,-81.89,2,6
496,45,36.92,-79.37,2,6
266,15,37.89,-88.02,2,6
167,29,41.9,-102.19,2,7
415,45,37.27,-76.93,2,6
