,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.039999999996,0.014999999998500001,0.01732050807395672
sanity.nearest_syn_neighbor_distance.mean,0.10540119371683493,0.20807251292697032,0.1392877728264771,0.04784619451964061
sanity.close_values_probability.score,0.6,0.91,0.79,0.14306175822583292
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.016666316173974998,0.025790862297115812,0.02223233705840237,0.004145928076333592
stats.chi_squared_test.marginal,0.5369000799100988,0.9807624361130065,0.7141347858805437,0.1973091602896275
stats.inv_kl_divergence.marginal,0.6710087270252184,0.8009971595343236,0.7503180091149938,0.06169692261179378
stats.ks_test.marginal,0.7599999999999999,0.834,0.788,0.03551525493831254
stats.max_mean_discrepancy.joint,0.028511141082146873,0.03469326389550596,0.03130166916175134,0.002564667413428948
stats.wasserstein_dist.joint,0.04536842716791688,0.0766611157968683,0.062232705878534134,0.013703914941934575
stats.alpha_precision.delta_precision_alpha_OC,0.3993333333333333,0.6093333333333333,0.5212298850574713,0.0899073112352677
stats.alpha_precision.delta_coverage_beta_OC,0.2813333333333333,0.478,0.4046149425287356,0.0857251569135621
stats.alpha_precision.authenticity_OC,0.41,0.71,0.5725,0.15019431857874427
stats.alpha_precision.delta_precision_alpha_naive,0.8075402298850575,0.9274022988505747,0.8619310344827587,0.04957071005870083
stats.alpha_precision.delta_coverage_beta_naive,0.2653333333333332,0.3473333333333334,0.2938333333333333,0.03703601850451359
stats.alpha_precision.authenticity_naive,0.65,0.75,0.6925,0.04645786621588783
stats.prdc.precision,0.34,0.45,0.405,0.047958315233127186
stats.prdc.recall,0.99,1.0,0.9975,0.0050000000000000044
stats.prdc.density,0.32400000000000007,0.492,0.41600000000000004,0.0723878442834154
stats.prdc.coverage,0.69,0.8,0.76,0.04966554808583784
performance.linear_model.gt,0.9969999999999999,0.9969999999999999,0.9969999999999999,0.0
performance.linear_model.syn_id,0.9698125,0.9939375,0.9838701171875,0.0104367891781526
performance.linear_model.syn_ood,0.97,0.9931875,0.9838906249999999,0.010143806479612744
performance.mlp.gt,0.431298828125,0.431298828125,0.431298828125,0.0
performance.mlp.syn_id,0.45283203125,0.48154296875,0.46846923828125,0.011977953089180317
performance.mlp.syn_ood,0.453125,0.4917187500000001,0.47648437500000007,0.017520681603584023
performance.xgb.gt,0.9943125,0.9943125,0.9943125,0.0
performance.xgb.syn_id,0.9823046875000001,0.9996523437499999,0.99299609375,0.007628501880070801
performance.xgb.syn_ood,0.982375,0.9995,0.992796875,0.007466832041044366
performance.feat_rank_distance.corr,0.14808139541475143,0.3529042384406209,0.2642350594580829,0.09493308037624464
performance.feat_rank_distance.pvalue,9.554130084036915e-12,0.00431241003003256,0.0010810986245236667,0.0021542150114386618
detection.detection_xgb.mean,0.76,0.819,0.7816874999999999,0.02591442246446303
detection.detection_mlp.mean,0.52475,0.5972500000000001,0.561,0.03828946765539233
detection.detection_gmm.mean,0.48775,0.524,0.5026250000000001,0.01588565915115474
detection.detection_linear.mean,0.618,0.72625,0.68675,0.04833433906999591
privacy.delta-presence.score,2.49999999375,9.999999900000002,6.874999942187501,3.749999951041668
privacy.k-anonymization.gt,7.0,7.0,7.0,0.0
privacy.k-anonymization.syn,1.00000001,4.00000001,2.00000001,1.4142135623730951
privacy.k-map.score,1.0,4.0,2.0,1.4142135623730951
privacy.distinct l-diversity.gt,7.0,7.0,7.0,0.0
privacy.distinct l-diversity.syn,1.00000001,4.00000001,2.00000001,1.4142135623730951
privacy.identifiability_score.,0.24,0.35,0.29500000000000004,0.049328828623162464
privacy.identifiability_score._privacy.identifiability_score.OC,0.21,0.37,0.305,0.0695221787153807
