,state_code,lat,lon,lat_zone,bird
2955,26,44.17043173557892,-67.14,2,0
2788,39,36.66365405528682,-100.57869299035757,2,6
2530,7,38.30375137424551,-110.32676306896737,2,0
3050,26,34.13433295062923,-83.57903565209297,2,3
712,8,41.830612926943054,-80.55148653327129,2,4
2722,5,37.82590032418577,-77.65387430015778,2,3
3129,39,42.62374747686145,-74.1967495292298,2,1
392,9,44.33626771516185,-112.62484407636408,2,3
3313,45,35.46349332449379,-100.16605877794557,2,8
3259,24,40.88734461598105,-89.75577575122003,2,2
3823,10,39.709049057983705,-89.72136329730458,2,3
1435,43,40.59147377501852,-76.49127168807111,2,5
2111,12,42.83442420988412,-96.6223301347597,2,5
4019,41,30.321832600240903,-88.92342209790975,2,0
372,33,44.3228403888545,-71.91685487058305,2,1
332,44,32.58980194599254,-82.99581368443422,2,0
4031,44,38.58181673273518,-81.52841155359077,2,5
1748,35,36.73429898718443,-77.84330576761126,2,6
2507,20,41.56289512029424,-84.50513858454464,2,6
3894,10,36.6915520989857,-87.16654850866477,2,6
786,49,41.93528098959992,-78.62629883382253,2,5
4055,33,37.725961438428605,-84.11525125772421,2,3
1125,35,36.30786205439476,-89.1046839561046,2,6
870,43,40.59398526911906,-81.21875734888123,2,5
1493,28,33.23086142811383,-86.8325077067808,2,6
2611,25,42.73470108541643,-67.96832927851364,2,2
2513,0,33.079363222097605,-121.49225137024968,2,0
456,16,41.98775729533924,-95.17749607786725,2,3
451,26,42.78665705774301,-93.4358545281443,2,1
466,31,34.748650019594486,-99.9705915244727,2,4
3999,44,44.30667899651038,-80.84033140674586,2,2
3080,35,41.1512609920323,-73.82116453001186,2,3
1598,44,31.9678095505506,-106.77134501157278,2,0
3642,32,43.6720923530732,-97.99800990726956,2,7
3369,11,38.88808661402809,-84.45123807366298,2,2
1278,39,40.06315719456994,-109.1358665003358,2,7
2797,31,39.04256243480936,-69.1256135122055,2,4
3790,12,40.77587911921532,-89.21858817960357,2,6
3421,11,42.96944283013943,-102.5939117927572,2,6
1077,41,48.615266312306765,-109.35754119548795,2,7
3570,28,37.369004544514105,-78.73301815150555,2,5
837,40,35.27665548969891,-109.00199481990936,2,0
2345,29,34.13781400840303,-106.40689565191656,2,5
1297,15,39.65797002453441,-84.28861356525384,2,4
219,4,39.84356396280438,-72.5525255239233,2,2
3656,50,47.94930383650735,-124.68418559297886,2,8
224,35,47.87819523577807,-106.85811219608992,2,8
1764,27,37.36810717369653,-81.9018652332429,2,2
1285,28,46.21351842886253,-116.0435618400704,2,8
673,33,36.37957761996361,-108.41626916133504,2,5
2857,18,40.49036482014738,-90.00987822964817,2,2
732,39,43.4960365893827,-72.44084447665456,2,5
31,36,40.7742802517811,-74.07694345380358,2,4
3474,23,45.48722778888298,-103.21384591973202,2,8
1615,33,37.5904183983725,-90.40167164349324,2,6
1284,18,38.2283378999099,-85.50181033820499,2,3
3856,39,39.85625424091898,-76.15125309941729,2,6
666,50,39.667619621294925,-80.3777084212407,2,6
1038,33,41.28195158248228,-70.44504166023825,2,2
3131,12,41.56615251642833,-92.88391600097631,2,4
1020,8,39.285489759664586,-74.27993492453538,2,1
403,25,47.22386970346479,-116.09959978565168,2,8
1653,35,33.10585827256318,-115.37435342240268,2,2
1635,8,44.33323343581574,-102.80232252976089,2,2
681,27,35.1154545638774,-87.86034409964591,2,6
1984,46,43.51377478266553,-102.12662259698526,2,5
3827,50,39.560087409248105,-72.91508549307652,2,6
835,38,34.86091345173503,-114.5969089502166,2,0
1104,40,32.014631929772655,-87.1486455222923,2,0
1076,10,39.14821123060018,-70.88827676577158,2,5
3643,5,36.05373448472388,-86.8179825961482,2,5
1801,24,35.91066241088357,-76.45451775454926,2,4
2497,10,43.412176278505015,-76.16309403583976,2,5
3804,35,30.102262797100217,-108.50327655534626,2,1
3311,5,34.242393396439034,-84.68477984622787,2,6
196,41,40.12033366385375,-72.14197081503333,2,5
1025,36,42.1068144838394,-74.23707142054913,2,3
2038,37,40.28010053989272,-79.1696826885946,2,1
2407,34,48.10178386536102,-108.57097227778829,2,7
2656,8,43.28270533867745,-84.14751425768443,2,3
2340,37,35.77856365110874,-88.87662149891051,2,7
476,47,39.832270003489256,-79.49760804118765,2,3
1639,40,39.978508755648775,-72.3605622418471,2,6
1282,24,47.74746023991119,-106.84009296877416,2,8
658,39,40.30308184148003,-72.07083407468738,2,5
2212,29,48.73137803229461,-116.88452942002358,2,7
3266,46,38.02363301439542,-79.43046547356211,2,6
1642,25,31.15442490461002,-114.75153590268388,2,4
3799,37,42.40188221333557,-75.51964275559585,2,4
2017,8,42.06994981503745,-99.31206364113864,2,4
3744,37,40.126260288667424,-78.75538169750263,2,5
905,40,39.26826781340643,-76.79361140783006,2,6
1332,46,40.83206150649752,-78.7159695545878,2,5
2149,7,24.85880826727092,-167.75,1,2
565,8,36.029666748764846,-86.68168739212835,2,6
440,10,35.94150814727213,-138.48675435835634,2,6
3862,34,34.68824830042931,-82.23908256105832,2,4
1345,13,51.04777380079408,-125.12278235056158,2,6
3568,26,43.41243235882333,-105.6126083930588,2,7
2935,33,42.0877386795322,-69.61594291721308,2,4
