,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.1839749805023151,0.2563186465757731,0.2176441676554921,0.026131584750255985
sanity.close_values_probability.score,0.53,0.8,0.686,0.10039920318408907
sanity.distant_values_probability.score,0.03,0.07,0.05800000000000001,0.016431676725154984
stats.jensenshannon_dist.marginal,0.022053688409542194,0.025682457411644915,0.023858752150955637,0.0016986388386115141
stats.chi_squared_test.marginal,0.39801807679506107,0.7876864285694865,0.5390220679629951,0.15935430990426877
stats.inv_kl_divergence.marginal,0.44396521067143774,0.7156554784651888,0.5624669795422527,0.10544255778961983
stats.ks_test.marginal,0.772,0.842,0.8064,0.028788886744714522
stats.max_mean_discrepancy.joint,0.03786968782069325,0.03825461958664654,0.038155259347983,0.0001636907443612792
stats.wasserstein_dist.joint,0.08053820752377037,0.13089740915418532,0.10453292887788576,0.02414026963415235
stats.alpha_precision.delta_precision_alpha_OC,0.15933333333333333,0.39466666666666683,0.26226666666666676,0.0936430575228203
stats.alpha_precision.delta_coverage_beta_OC,0.1333333333333333,0.22799999999999998,0.17653333333333338,0.04533676457602838
stats.alpha_precision.authenticity_OC,0.7,0.84,0.764,0.05029910535983717
stats.alpha_precision.delta_precision_alpha_naive,0.8587126436781609,0.8846896551724138,0.8767862068965517,0.010843027767004545
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.022666666666666613,0.00613333333333328,0.009456332387465132
stats.alpha_precision.authenticity_naive,0.8,1.0,0.932,0.0779102047231298
stats.prdc.precision,0.01,0.07,0.028000000000000004,0.02387467277262665
stats.prdc.recall,0.99,1.0,0.998,0.004472135954999584
stats.prdc.density,0.002,0.014000000000000002,0.008400000000000001,0.00433589667773576
stats.prdc.coverage,0.01,0.05,0.038000000000000006,0.01643167672515498
performance.linear_model.gt,0.9969999999999999,0.9969999999999999,0.9969999999999999,0.0
performance.linear_model.syn_id,0.5008437499999999,0.66786328125,0.5757218749999999,0.0615515505833235
performance.linear_model.syn_ood,0.5,0.6680625000000001,0.57545,0.06186413098981515
performance.mlp.gt,0.431298828125,0.431298828125,0.431298828125,0.0
performance.mlp.syn_id,0.460009765625,0.49375,0.485234375,0.014611060713345473
performance.mlp.syn_ood,0.46593750000000006,0.49375,0.4835625,0.012991508645072748
performance.xgb.gt,0.9943125,0.9943125,0.9943125,0.0
performance.xgb.syn_id,0.621515625,0.6918984375,0.6512890625000001,0.02725111708844904
performance.xgb.syn_ood,0.6219374999999999,0.6926249999999999,0.6516875,0.027670882428556545
performance.feat_rank_distance.corr,-0.22839882918901244,0.03334392537204901,-0.1047403169608651,0.09842442132288741
performance.feat_rank_distance.pvalue,7.966206195436686e-06,0.5145088191340568,0.1482800800424063,0.21573459026611544
detection.detection_xgb.mean,0.9475000000000001,0.9845,0.9682999999999999,0.014665435554391128
detection.detection_mlp.mean,0.6064999999999999,0.6584999999999999,0.6214999999999999,0.02194951593999282
detection.detection_gmm.mean,0.48650000000000004,0.5854999999999999,0.5263500000000001,0.04159987980751864
detection.detection_linear.mean,0.6185,0.6785,0.6491999999999999,0.027837923773155204
privacy.delta-presence.score,4.999999975000001,9.999999900000002,7.9999999325000015,2.7386127430233738
privacy.k-anonymization.gt,7.0,7.0,7.0,0.0
privacy.k-anonymization.syn,2.00000001,4.00000001,3.00000001,1.0
privacy.k-map.score,1.0,2.0,1.4,0.5477225575051661
privacy.distinct l-diversity.gt,7.0,7.0,7.0,0.0
privacy.distinct l-diversity.syn,2.00000001,4.00000001,3.00000001,1.0
privacy.identifiability_score.,0.0,0.02,0.006,0.00894427190999916
privacy.identifiability_score._privacy.identifiability_score.OC,0.1,0.27,0.174,0.06949820141557622
