,state_code,lat,lon,lat_zone,bird
3498,22,40.18017512523118,-98.74400367136256,2,2
1682,25,48.215926587332206,-109.99345573197166,2,7
609,36,42.609616489122544,-76.63798123986273,2,2
2732,33,34.37417389681508,-107.08101077135758,2,3
2836,46,44.03409812995832,-114.61845802677684,2,7
243,40,38.748975288338,-78.83697661117344,2,6
445,11,19.504586235134795,-156.80973128944044,1,4
1929,50,42.95480385978645,-110.95015052218903,2,7
2379,5,39.709687041881146,-101.54333126291344,2,5
3051,50,43.28648858425161,-106.98866866555802,2,7
1754,13,41.39166816164855,-90.982992297495,2,6
156,25,35.61262293273775,-78.72780838803587,2,6
2158,18,39.51614101426912,-87.43635445939402,2,6
2781,44,37.8204635888375,-77.1730642717481,2,6
1489,31,41.875328011559695,-82.7711352053493,2,2
3961,24,39.16539042776145,-85.42083951128612,2,6
3052,35,42.66069355270628,-74.90395934021976,2,2
3026,49,36.72561663285603,-81.69015251220033,2,6
840,50,43.34119756778129,-109.18285205761418,2,7
583,30,36.93393540139623,-81.63227708742296,2,6
3319,42,41.77032202338274,-124.02532312312574,2,7
305,30,41.16746336958919,-85.58542694377476,2,2
2370,0,69.59441636815775,-155.4008525484936,0,8
342,30,44.36370865529999,-96.56034265084551,2,7
2948,15,38.93000868448052,-96.1692772429692,2,7
485,26,46.5819970854882,-104.2423761230644,2,7
1285,39,41.26851279433785,-122.49947646522544,2,7
2277,19,39.77262858875376,-110.53861781654848,2,7
2030,6,40.331832125243935,-102.44077904524548,2,5
1370,28,34.637491891104084,-78.82926280007007,2,6
1372,28,38.85824759366174,-81.85878965853748,2,6
1971,21,41.27962749861628,-99.6503799032162,2,7
838,14,40.12115330325958,-87.20390305784476,2,6
125,28,46.863795375470914,-108.40842756665182,2,7
373,33,47.35042648597808,-117.66151696644243,2,7
1701,45,38.96907198660575,-80.97078461183494,2,6
510,50,42.10090955359074,-106.69658208801248,2,7
3858,32,33.47620452714905,-106.58696954680296,2,3
3459,20,42.5337393654817,-83.25962687103225,2,6
1346,24,39.267098524831226,-81.12445985399182,2,6
2014,22,44.094880349417416,-101.33058624995464,2,7
1134,19,38.48719256397771,-110.18463060353788,2,7
3613,30,39.73382069489031,-78.92585427082913,2,6
1614,14,40.542833961032606,-89.48508925423133,2,6
582,24,39.639784912159406,-95.32777052059171,2,7
1212,47,38.85665397919155,-80.9962367876197,2,6
291,12,19.54243528070488,-154.96865900639128,1,4
3765,32,34.88255978344682,-109.70655872374616,2,3
1588,48,38.77565794158362,-77.04061359692619,2,6
2995,23,40.27003969018429,-106.58857631031776,2,7
3840,23,38.37318515767582,-99.21454321171193,2,7
599,26,47.47192974732649,-103.9619284055883,2,7
2491,25,48.22603116828706,-106.895997864575,2,7
1351,32,40.93517333854136,-86.30228755134435,2,2
699,20,39.13797729012702,-83.09914112714233,2,6
878,15,41.125708777374975,-89.03911543877592,2,6
1429,24,40.751942891477206,-98.45264023916616,2,7
1715,32,36.69854854853505,-104.46441542541098,2,3
168,41,38.42248025242351,-80.69579056181348,2,6
2543,26,41.69613497726217,-105.9279871364096,2,7
1398,27,47.819088693541296,-101.70790417124228,2,7
1972,35,34.1925548231045,-102.21687772408076,2,3
697,18,39.10260605423915,-81.69688938661237,2,6
111,15,39.24107671250096,-88.67706174517633,2,6
874,38,38.97258638185038,-83.44614864305423,2,6
2355,45,38.75523344922902,-106.14058729409824,2,0
1016,13,40.01574651639787,-90.37429423146438,2,6
948,26,47.96403920045599,-110.13408592658568,2,7
3670,16,38.52726972196082,-82.41194080528382,2,6
0,29,39.68773764719739,-104.17926596010378,2,7
3875,43,41.289405511211214,-109.44453966091564,2,0
2876,29,41.548042899764006,-83.70967108666616,2,2
1024,0,70.15019857747791,-167.47726397817112,0,8
281,50,41.9816036631028,-101.97847275181068,2,7
1418,30,38.90417008607947,-82.0416145659618,2,6
3464,35,42.77966787764635,-75.89540956728158,2,2
489,14,40.14506293660335,-87.93922913405694,2,6
1221,28,48.14292058544637,-115.02469386095824,2,7
1409,17,36.78005680719984,-95.58108467776285,2,7
2121,37,44.793902715286734,-101.23681021838225,2,7
1511,12,21.42543532352917,-155.60474836853362,1,4
3010,27,46.04063047055492,-110.58524537961576,2,7
1740,12,19.406313010233934,-155.6411264239211,1,4
2314,19,37.35494363981201,-86.64075459885476,2,6
1726,45,39.54099884378444,-111.82172566821724,2,0
1673,49,37.66845009920188,-81.94403512801422,2,6
1067,50,42.44855997142359,-108.91237849564712,2,7
1154,50,42.38612016701604,-105.9431377603106,2,7
2912,29,46.50397187224587,-112.50626528202297,2,7
34,34,43.03389135278252,-119.91921788166624,2,7
1289,38,38.91996158068493,-80.35018288380978,2,6
2303,45,40.44582770457459,-113.69465196699456,2,0
2419,24,41.594162567579176,-93.32985927001052,2,2
1130,49,39.15327317000823,-80.58740147612608,2,6
3285,43,41.40349138486337,-75.09381176024841,2,6
1391,17,40.12105055163968,-87.38286198279732,2,6
3394,34,43.03128159364157,-75.3576183412645,2,2
3904,32,33.042886832279336,-108.06855837934754,2,3
1914,47,39.28171603927519,-82.89337134982338,2,6
1995,50,44.96676188479488,-108.08816077315755,2,7
