,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.13265125352654483,0.17410540424278867,0.15345198895702156,0.018399512025985526
sanity.close_values_probability.score,0.65,0.86,0.7899999999999999,0.09899494936611664
sanity.distant_values_probability.score,0.01,0.02,0.015,0.005773502691896258
stats.jensenshannon_dist.marginal,0.019790378906140806,0.02512567578399494,0.022860576150571278,0.002243409359653834
stats.chi_squared_test.marginal,0.575226690710212,0.9540697765452748,0.676904864708612,0.18498720360929538
stats.inv_kl_divergence.marginal,0.7140935849618761,0.7790091972438744,0.7370444189975511,0.02868997924415753
stats.ks_test.marginal,0.756,0.8019999999999999,0.7775000000000001,0.022941955743426334
stats.max_mean_discrepancy.joint,0.03334127688578375,0.035913702877069485,0.03495364636866109,0.0011300148244609625
stats.wasserstein_dist.joint,0.0463244729724787,0.06758125134538252,0.05654729896554425,0.010072663968441633
stats.alpha_precision.delta_precision_alpha_OC,0.33133333333333337,0.598528735632184,0.42761494252873566,0.12659681182188204
stats.alpha_precision.delta_coverage_beta_OC,0.2520000000000001,0.43266666666666664,0.3341666666666667,0.07531538625943175
stats.alpha_precision.authenticity_OC,0.53,0.82,0.6525000000000001,0.14614490525958584
stats.alpha_precision.delta_precision_alpha_naive,0.7994712643678161,0.9057471264367816,0.8643275862068966,0.04688647767614534
stats.alpha_precision.delta_coverage_beta_naive,0.05599999999999994,0.09800000000000009,0.0793333333333334,0.017830477445260076
stats.alpha_precision.authenticity_naive,0.78,0.99,0.8775,0.08655441448399188
stats.prdc.precision,0.24,0.36,0.2825,0.054390562906935724
stats.prdc.recall,1.0,1.0,1.0,0.0
stats.prdc.density,0.198,0.30600000000000005,0.24050000000000002,0.04859012245302538
stats.prdc.coverage,0.46,0.65,0.5675,0.08883505314157619
performance.linear_model.gt,0.9969999999999999,0.9969999999999999,0.9969999999999999,0.0
performance.linear_model.syn_id,0.9742539062499999,0.98916796875,0.9815703124999999,0.007164792311063711
performance.linear_model.syn_ood,0.9743125000000001,0.9890625,0.981640625,0.00720448626869624
performance.mlp.gt,0.431298828125,0.431298828125,0.431298828125,0.0
performance.mlp.syn_id,0.47001953125,0.56083984375,0.5124755859375,0.040793056605930335
performance.mlp.syn_ood,0.51171875,0.554375,0.531328125,0.018809151487706684
performance.xgb.gt,0.9943125,0.9943125,0.9943125,0.0
performance.xgb.syn_id,0.9823789062499999,1.0,0.9946337890625,0.008340010168006898
performance.xgb.syn_ood,0.9818750000000002,1.0,0.9943906250000001,0.00851352707337948
performance.feat_rank_distance.corr,0.23922289436035687,0.3676851203390853,0.300669327385893,0.06953241068723756
performance.feat_rank_distance.pvalue,1.2425268456276208e-12,3.958838675661436e-06,1.7474502079629353e-06,2.0530267155421787e-06
detection.detection_xgb.mean,0.8465,0.9199999999999999,0.8743125,0.03173547896282639
detection.detection_mlp.mean,0.5365,0.6002500000000001,0.5689375000000001,0.033592146279549706
detection.detection_gmm.mean,0.495,0.57325,0.5326875,0.03296423251040439
detection.detection_linear.mean,0.6565000000000001,0.7125000000000001,0.6833750000000001,0.02438023448068814
privacy.delta-presence.score,2.49999999375,9.999999900000002,5.2083332977430565,3.3592740185081094
privacy.k-anonymization.gt,7.0,7.0,7.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.75000001,0.9574271077563381
privacy.k-map.score,1.0,4.0,2.5,1.2909944487358056
privacy.distinct l-diversity.gt,7.0,7.0,7.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.75000001,0.9574271077563381
privacy.identifiability_score.,0.07,0.11,0.085,0.01732050807568877
privacy.identifiability_score._privacy.identifiability_score.OC,0.21,0.34,0.2675,0.05377421934967228
