,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.3450226778582756,0.49640447752716305,0.40094163662983,0.07217971486092359
sanity.close_values_probability.score,0.18,0.45,0.33499999999999996,0.11269427669584646
sanity.distant_values_probability.score,0.08,0.2,0.1375,0.053150729063673255
stats.jensenshannon_dist.marginal,0.07799769126611641,0.08309347866295737,0.08092194751487619,0.0024906361706922837
stats.chi_squared_test.marginal,0.5575307548664081,0.5892544565394994,0.579473611233172,0.014732950987751353
stats.inv_kl_divergence.marginal,0.4565669887167009,0.506883243723224,0.47778279531520546,0.021286498717984166
stats.ks_test.marginal,0.40199999999999997,0.472,0.43849999999999995,0.030827476921300785
stats.max_mean_discrepancy.joint,0.054529719903694894,0.06138544157219658,0.05651463051594077,0.003266552728343364
stats.wasserstein_dist.joint,1.173652597775017,1.2435910848341498,1.197838733535346,0.03298606524064272
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.03066666666666673,0.012666666666666632,0.012938601447119717
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.03733333333333333,0.009333333333333332,0.018666666666666665
stats.alpha_precision.authenticity_OC,0.98,1.0,0.995,0.010000000000000009
stats.alpha_precision.delta_precision_alpha_naive,0.050000000000000044,0.06999999999999995,0.057499999999999996,0.0091631306311196
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0
stats.prdc.precision,0.0,0.0,0.0,0.0
stats.prdc.recall,0.81,0.89,0.85,0.040824829046386304
stats.prdc.density,0.0,0.0,0.0,0.0
stats.prdc.coverage,0.0,0.0,0.0,0.0
performance.linear_model.gt,1.0,1.0,1.0,0.0
performance.linear_model.syn_id,0.4366116071428571,0.5428794642857142,0.5002399553571428,0.04995181396417492
performance.linear_model.syn_ood,0.43699999999999994,0.5436428571428571,0.5004642857142856,0.04991988479513133
performance.mlp.gt,0.563671875,0.563671875,0.563671875,0.0
performance.mlp.syn_id,0.4905133928571429,0.5333705357142857,0.5027622767857143,0.02046530838900188
performance.mlp.syn_ood,0.46499999999999997,0.48571428571428577,0.478125,0.009135111116020507
performance.xgb.gt,0.9988571428571429,0.9988571428571429,0.9988571428571429,0.0
performance.xgb.syn_id,0.5359017857142858,0.6518973214285715,0.56534375,0.05770469575061392
performance.xgb.syn_ood,0.5347142857142857,0.6531428571428572,0.5655714285714286,0.05839520528262579
performance.feat_rank_distance.corr,-0.253516298161257,0.15779599959223956,-0.08072343167550472,0.17286327362267828
performance.feat_rank_distance.pvalue,3.956639854779956e-06,0.08547955187213575,0.026336237751812083,0.03998482809621856
detection.detection_xgb.mean,0.9995,1.0,0.9998750000000001,0.00024999999999997247
detection.detection_mlp.mean,0.817,0.922,0.8621875,0.047046685589954215
detection.detection_gmm.mean,0.39925000000000005,0.5042500000000001,0.456,0.05498749857922255
detection.detection_linear.mean,0.9945,0.9995,0.996125,0.0022867371223354036
privacy.delta-presence.score,3.6666666544444446,11.999999880000003,8.666666586111113,3.741657338468947
privacy.k-anonymization.gt,6.0,6.0,6.0,0.0
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0
privacy.k-map.score,1.0,2.0,1.25,0.5
privacy.distinct l-diversity.gt,6.0,6.0,6.0,0.0
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0
privacy.identifiability_score.,0.0,0.0,0.0,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.08,0.03,0.035590260840104374
