,state_code,lat,lon,lat_zone,bird
490,32.0,34.85,-107.12,2.0,3.0
487,49.0,38.2,-81.25,2.0,6.0
29,33.0,45.23,-74.56,2.0,1.0
273,33.0,34.89,-106.1,2.0,3.0
318,32.0,45.2,-74.0,2.0,2.0
42,33.0,42.5,-74.5,2.0,1.0
415,17.0,36.8,-83.3,2.0,6.0
248,49.0,38.82,-79.2,2.0,6.0
317,32.0,43.5,-74.1,2.0,2.0
419,0.0,63.0,-153.0,0.0,8.0
160,8.0,39.12,-75.65,2.0,1.0
385,44.0,38.9,-111.5,2.0,0.0
387,17.0,37.8,-83.5,2.0,6.0
313,44.0,39.1,-109.75,2.0,0.0
450,12.0,21.34,-157.82,1.0,3.0
353,11.0,19.75,-154.95,1.0,4.0
92,11.0,20.15,-155.65,1.0,4.0
233,33.0,45.12,-73.88,2.0,2.0
308,12.0,22.5,-158.7,1.0,3.0
315,11.0,21.75,-157.85,1.0,4.0
88,9.0,38.8,-75.3,2.0,2.0
15,33.0,35.15,-108.11,2.0,4.0
6,33.0,35.62,-103.43,2.0,4.0
405,17.0,36.85,-86.75,2.0,6.0
389,16.0,39.0,-95.3,2.0,7.0
100,16.0,38.12,-100.87,2.0,7.0
109,5.0,38.6,-104.2,2.0,5.0
439,8.0,39.67,-75.55,2.0,1.0
71,16.0,37.35,-97.45,2.0,7.0
266,49.0,39.45,-81.0,2.0,6.0
59,16.0,38.5,-96.3,2.0,7.0
90,5.0,38.67,-104.12,2.0,5.0
480,11.0,20.12,-155.65,1.0,4.0
74,16.0,37.67,-96.45,2.0,7.0
226,33.0,32.45,-106.89,2.0,4.0
122,17.0,38.24,-82.1,2.0,6.0
428,31.0,33.0,-106.8,2.0,4.0
178,16.0,38.4,-100.45,2.0,7.0
431,17.0,37.42,-83.55,2.0,6.0
463,17.0,37.1,-87.8,2.0,6.0
292,49.0,38.3,-81.7,2.0,6.0
249,11.0,19.7,-155.33,1.0,4.0
267,0.0,70.6,-153.2,0.0,8.0
163,32.0,36.95,-106.15,2.0,3.0
260,16.0,38.87,-98.12,2.0,7.0
126,11.0,19.5,-155.3,1.0,4.0
164,8.0,39.22,-75.7,2.0,1.0
436,17.0,37.9,-85.7,2.0,6.0
212,44.0,39.05,-109.9,2.0,0.0
159,10.0,40.12,-75.34,2.0,2.0
70,16.0,38.45,-98.67,2.0,7.0
392,33.0,33.0,-107.0,2.0,3.0
430,11.0,19.78,-155.92,1.0,4.0
467,5.0,40.2,-108.5,2.0,5.0
197,32.0,36.3,-107.7,2.0,3.0
312,5.0,37.5,-106.45,2.0,5.0
162,32.0,43.6,-75.3,2.0,2.0
291,16.0,39.1,-98.5,2.0,7.0
437,8.0,39.13,-75.65,2.0,1.0
434,0.0,62.35,-143.85,0.0,8.0
102,49.0,39.22,-80.15,2.0,6.0
195,11.0,20.9,-156.7,1.0,4.0
306,17.0,37.2,-85.3,2.0,6.0
199,16.0,38.8,-99.9,2.0,7.0
94,32.0,42.6,-77.2,2.0,2.0
158,7.0,39.24,-76.34,2.0,2.0
237,31.0,42.87,-76.42,2.0,2.0
101,32.0,34.62,-106.45,2.0,3.0
495,0.0,63.7,-159.5,0.0,8.0
172,8.0,38.8,-75.52,2.0,1.0
99,8.0,39.7,-75.85,2.0,1.0
77,32.0,42.78,-78.45,2.0,2.0
69,0.0,65.23,-144.89,0.0,8.0
124,32.0,32.61,-105.1,2.0,3.0
214,49.0,38.1,-81.5,2.0,6.0
241,0.0,68.95,-161.45,0.0,8.0
120,32.0,34.12,-104.25,2.0,3.0
58,0.0,64.2,-157.4,0.0,8.0
413,11.0,19.5,-155.0,1.0,4.0
354,44.0,40.35,-109.26,2.0,0.0
55,8.0,38.5,-75.35,2.0,1.0
401,0.0,66.45,-146.12,0.0,8.0
462,0.0,60.5,-141.1,0.0,8.0
173,49.0,38.1,-80.1,2.0,6.0
460,8.0,38.45,-75.55,2.0,1.0
56,0.0,67.4,-154.8,0.0,8.0
79,5.0,38.23,-106.67,2.0,5.0
108,32.0,33.1,-105.9,2.0,3.0
351,12.0,20.1,-156.32,1.0,3.0
11,9.0,39.12,-76.38,2.0,2.0
179,11.0,19.7,-155.25,1.0,4.0
496,32.0,35.0,-106.5,2.0,3.0
264,16.0,37.72,-98.8,2.0,7.0
246,16.0,37.62,-96.34,2.0,7.0
236,17.0,40.21,-98.76,2.0,7.0
381,49.0,38.12,-80.45,2.0,6.0
479,33.0,35.5,-107.4,2.0,4.0
96,17.0,37.75,-85.0,2.0,6.0
166,17.0,37.8,-82.75,2.0,6.0
498,0.0,65.5,-154.5,0.0,8.0
