,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.07070967909556879,0.10457762330022585,0.08638752541173844,0.014192743276959695
sanity.close_values_probability.score,0.89,0.93,0.9120000000000001,0.020186629238186368
sanity.distant_values_probability.score,0.005,0.015,0.009,0.004183300132670377
stats.jensenshannon_dist.marginal,0.00640788225892142,0.011656249485462868,0.00848459703009041,0.002300917024645647
stats.chi_squared_test.marginal,0.7976463089191972,0.7998501058741969,0.7992531216829443,0.0009060668445388198
stats.inv_kl_divergence.marginal,0.8887346509904905,0.9535406842469406,0.9220736027675276,0.02686492686407523
stats.ks_test.marginal,0.922,0.9560000000000001,0.9378,0.013198484761517151
stats.max_mean_discrepancy.joint,0.008986099056542504,0.013544503548742502,0.011748157254358493,0.0017521616912264458
stats.wasserstein_dist.joint,0.7398124409127846,0.7538961896650677,0.7469523124625186,0.006418400826459331
stats.alpha_precision.delta_precision_alpha_OC,0.7164597701149426,0.8324597701149425,0.7833011494252874,0.05194551501896273
stats.alpha_precision.delta_coverage_beta_OC,0.4186666666666665,0.5419999999999999,0.4865333333333334,0.0470777135289206
stats.alpha_precision.authenticity_OC,0.44,0.54,0.508,0.04147288270665545
stats.alpha_precision.delta_precision_alpha_naive,0.7766666666666667,0.8780689655172413,0.8305471264367817,0.03785975678442646
stats.alpha_precision.delta_coverage_beta_naive,0.42866666666666653,0.5506436781609196,0.4798620689655172,0.0574257751007696
stats.alpha_precision.authenticity_naive,0.41,0.57,0.48200000000000004,0.0593295878967653
stats.prdc.precision,0.85,0.94,0.9019999999999999,0.0383405790253616
stats.prdc.recall,0.99,1.0,0.9950000000000001,0.0050000000000000044
stats.prdc.density,0.8580000000000001,1.03,0.9336000000000002,0.06862069658637977
stats.prdc.coverage,0.875,0.92,0.89,0.018371173070873853
performance.linear_model.gt,0.999984375,0.999984375,0.999984375,0.0
performance.linear_model.syn_id,0.9960888671875001,0.9991289062500002,0.9978787109375,0.0011635547324152658
performance.linear_model.syn_ood,0.9959687500000001,0.9990937500000001,0.9978406249999999,0.0012005044512620596
performance.mlp.gt,0.47783203125,0.47783203125,0.47783203125,0.0
performance.mlp.syn_id,0.42930908203125,0.46337890625,0.44825927734375004,0.013368200209139109
performance.mlp.syn_ood,0.45531249999999995,0.4836718749999999,0.46880468749999993,0.011345003589479905
performance.xgb.gt,0.999421875,0.999421875,0.999421875,0.0
performance.xgb.syn_id,0.9940263671875,0.9997226562499998,0.9969396484374998,0.0027189823270604026
performance.xgb.syn_ood,0.994140625,0.9997812500000001,0.996859375,0.0027557645547560965
performance.feat_rank_distance.corr,0.31946251715534363,0.482012758831389,0.39484711797577976,0.06304378982294735
performance.feat_rank_distance.pvalue,3.6481076641658402e-40,1.832990760603451e-18,3.666911074157603e-19,8.196864496844135e-19
detection.detection_xgb.mean,0.45899999999999996,0.52425,0.5025,0.026022376188580477
detection.detection_mlp.mean,0.44075,0.50125,0.46914999999999996,0.02448937907542776
detection.detection_gmm.mean,0.490625,0.5127499999999999,0.504375,0.00850734976358676
detection.detection_linear.mean,0.42375000000000007,0.55525,0.50175,0.05531867903339702
privacy.delta-presence.score,3.999999986666667,11.999999880000003,6.599999958000001,3.130495124523703
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,3.00000001,6.00000001,4.40000001,1.140175425099138
privacy.k-map.score,1.0,3.0,1.6,0.8944271909999159
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,3.00000001,6.00000001,4.40000001,1.140175425099138
privacy.identifiability_score.,0.285,0.385,0.347,0.03768288736283355
privacy.identifiability_score._privacy.identifiability_score.OC,0.315,0.37,0.33199999999999996,0.022527760652137616
