,state_code,lat,lon,lat_zone,bird
3418,5.0,37.83,-106.81,2.0,5.0
4555,0.0,60.85,-152.59,0.0,8.0
4856,44.0,40.04,-113.48,2.0,0.0
3422,8.0,39.49,-75.42,2.0,1.0
5803,44.0,39.99,-110.59,2.0,0.0
6044,11.0,21.46,-158.58,1.0,4.0
3584,16.0,39.81,-100.87,2.0,7.0
3762,8.0,38.85,-75.38,2.0,1.0
4753,17.0,37.69,-83.39,2.0,6.0
5276,11.0,20.99,-156.99,1.0,4.0
5220,11.0,21.81,-158.49,1.0,4.0
5500,11.0,22.29,-159.69,1.0,4.0
5662,8.0,38.95,-75.57,2.0,1.0
5605,49.0,38.39,-81.29,2.0,6.0
4710,8.0,38.92,-75.44,2.0,1.0
5383,0.0,66.29,-161.99,0.0,8.0
2910,49.0,38.46,-80.55,2.0,6.0
6408,32.0,43.39,-75.27,2.0,2.0
5324,11.0,20.99,-156.99,1.0,4.0
3730,0.0,60.19,-140.85,0.0,8.0
6568,44.0,37.79,-112.41,2.0,0.0
5941,49.0,38.69,-80.35,2.0,6.0
5872,32.0,34.49,-105.99,2.0,3.0
4798,8.0,38.59,-75.19,2.0,1.0
3472,49.0,39.58,-80.41,2.0,6.0
3979,32.0,36.37,-104.29,2.0,3.0
3046,44.0,40.57,-111.85,2.0,0.0
3522,17.0,37.39,-83.99,2.0,6.0
4047,5.0,40.79,-108.41,2.0,5.0
5712,32.0,33.09,-104.99,2.0,3.0
6434,17.0,37.37,-84.43,2.0,6.0
5502,8.0,38.79,-75.61,2.0,1.0
3118,8.0,39.49,-75.42,2.0,1.0
6100,44.0,37.75,-112.29,2.0,0.0
6603,5.0,38.37,-107.63,2.0,5.0
6000,16.0,38.83,-98.31,2.0,7.0
5466,5.0,40.79,-107.49,2.0,5.0
5682,5.0,40.69,-107.69,2.0,5.0
6418,0.0,59.29,-136.69,2.0,8.0
6661,0.0,60.83,-159.95,0.0,8.0
4766,49.0,37.48,-81.85,2.0,6.0
4311,17.0,49.71,-101.65,2.0,6.0
6455,8.0,38.63,-75.36,2.0,1.0
3889,0.0,69.37,-151.59,0.0,8.0
3461,16.0,39.43,-100.57,2.0,7.0
3805,16.0,39.32,-96.05,2.0,7.0
6008,44.0,37.93,-111.67,2.0,0.0
6459,5.0,38.41,-107.55,2.0,5.0
6323,11.0,20.87,-156.25,1.0,4.0
2903,17.0,38.69,-83.85,2.0,6.0
4166,11.0,26.35,-163.07,1.0,4.0
6257,8.0,38.59,-75.34,2.0,1.0
3838,16.0,39.46,-96.03,2.0,7.0
4081,44.0,42.19,-112.22,2.0,0.0
5874,5.0,40.69,-107.69,2.0,5.0
5736,32.0,32.99,-104.49,2.0,3.0
3978,16.0,39.72,-97.15,2.0,7.0
6092,17.0,37.55,-84.93,2.0,6.0
6300,32.0,43.49,-75.31,2.0,2.0
5700,11.0,21.59,-158.29,1.0,4.0
3742,32.0,33.58,-103.29,2.0,3.0
5561,17.0,38.89,-84.39,2.0,6.0
3607,17.0,37.09,-85.39,2.0,6.0
4190,8.0,43.71,-77.95,2.0,1.0
5006,11.0,20.39,-156.29,1.0,4.0
5705,17.0,38.89,-84.39,2.0,6.0
4217,32.0,37.49,-110.99,2.0,3.0
3977,11.0,21.83,-157.99,1.0,4.0
4707,11.0,21.67,-158.23,1.0,4.0
4473,16.0,38.25,-95.67,2.0,7.0
6188,11.0,21.47,-158.03,1.0,4.0
2997,32.0,43.49,-76.59,2.0,2.0
5625,5.0,40.89,-108.09,2.0,5.0
5905,17.0,38.59,-84.29,2.0,6.0
3598,17.0,37.39,-83.99,2.0,6.0
3775,16.0,38.17,-98.73,2.0,7.0
3358,49.0,39.58,-80.41,2.0,6.0
4342,16.0,57.66,-113.91,2.0,7.0
4613,17.0,37.31,-84.59,2.0,6.0
5409,5.0,40.89,-108.39,2.0,5.0
5158,8.0,38.79,-75.51,2.0,1.0
2989,32.0,42.76,-74.51,2.0,2.0
5372,11.0,20.99,-156.99,1.0,4.0
2924,5.0,39.59,-102.67,2.0,5.0
6471,32.0,42.55,-78.71,2.0,2.0
4889,0.0,58.19,-158.59,2.0,8.0
2900,0.0,68.29,-149.21,0.0,8.0
3580,0.0,61.29,-155.27,0.0,8.0
5704,32.0,34.29,-105.69,2.0,3.0
5741,49.0,37.59,-81.69,2.0,6.0
6580,0.0,59.25,-136.69,2.0,8.0
3368,49.0,38.79,-79.53,2.0,6.0
4133,32.0,35.59,-108.81,2.0,3.0
6172,44.0,37.73,-112.31,2.0,0.0
5921,0.0,66.19,-152.35,0.0,8.0
6034,16.0,37.29,-101.79,2.0,7.0
5018,32.0,33.59,-104.91,2.0,3.0
3144,11.0,19.85,-155.49,1.0,4.0
3360,17.0,37.19,-84.69,2.0,6.0
3088,32.0,42.67,-73.35,2.0,2.0
