,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.07321824429990373,0.15048064555308893,0.10896409869019612,0.02991629177310007
sanity.close_values_probability.score,0.75,0.96,0.858,0.07661592523751182
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.00796234352619843,0.021592136281483182,0.01418578999640387,0.005270416345850506
stats.chi_squared_test.marginal,0.5978710179227551,0.9986563958991697,0.8762044830738596,0.17779290663174535
stats.inv_kl_divergence.marginal,0.8626016275713326,0.966453514494676,0.8979987010732204,0.04210137224095964
stats.ks_test.marginal,0.806,0.938,0.8812000000000001,0.04877704378086065
stats.max_mean_discrepancy.joint,0.020884405438023182,0.03057579386129494,0.025137351320181012,0.004479912798333503
stats.wasserstein_dist.joint,0.004951288739186316,2.3879122940792232,0.6320738549589515,1.0015936202107576
stats.alpha_precision.delta_precision_alpha_OC,0.3613333333333333,0.8360459770114943,0.6475678160919541,0.18274231793114717
stats.alpha_precision.delta_coverage_beta_OC,0.34659770114942534,0.4800000000000001,0.4326390804597701,0.05288027293758263
stats.alpha_precision.authenticity_OC,0.53,0.65,0.5900000000000001,0.05244044240850758
stats.alpha_precision.delta_precision_alpha_naive,0.6693333333333333,0.9389655172413793,0.8217793103448277,0.11339396223997049
stats.alpha_precision.delta_coverage_beta_naive,0.30200000000000005,0.4920000000000001,0.3683862068965517,0.0836379867562769
stats.alpha_precision.authenticity_naive,0.45,0.72,0.594,0.11458621208504975
stats.prdc.precision,0.43,0.95,0.7380000000000001,0.21087911228948208
stats.prdc.recall,0.92,1.0,0.968,0.036331804249169895
stats.prdc.density,0.35600000000000004,0.8880000000000001,0.6896000000000001,0.21655207225976852
stats.prdc.coverage,0.73,0.99,0.882,0.0947100839404126
performance.linear_model.gt,0.9969999999999999,0.9969999999999999,0.9969999999999999,0.0
performance.linear_model.syn_id,0.9315,0.9998046875,0.9782617187500001,0.02875865401342806
performance.linear_model.syn_ood,0.9311250000000001,0.9998750000000001,0.978175,0.028935657338740373
performance.mlp.gt,0.431298828125,0.431298828125,0.431298828125,0.0
performance.mlp.syn_id,0.440283203125,0.49375,0.46795898437499994,0.023684897287350206
performance.mlp.syn_ood,0.43968749999999995,0.49375,0.4665,0.025668218128163875
performance.xgb.gt,0.9943125,0.9943125,0.9943125,0.0
performance.xgb.syn_id,0.9989765625,1.0,0.999784375,0.0004522013754781863
performance.xgb.syn_ood,0.9988125,1.0,0.9997375,0.0005199158585771363
performance.feat_rank_distance.corr,0.3311326529043212,0.5515264728688254,0.42287953915727217,0.09145570127107729
performance.feat_rank_distance.pvalue,2.228140821169316e-26,1.7681342762057514e-10,4.115064917919307e-11,7.686610779214119e-11
detection.detection_xgb.mean,0.5032500000000001,0.8254999999999999,0.6385500000000001,0.1358316283124074
detection.detection_mlp.mean,0.5025000000000001,0.6735,0.5561,0.07452235402884155
detection.detection_gmm.mean,0.4630000000000001,0.5425,0.50855,0.029026065871902068
detection.detection_linear.mean,0.43499999999999994,0.791,0.5736,0.1378869101836719
privacy.delta-presence.score,1.666666663888889,3.3333333222222223,2.3999999936444447,0.8628119360040815
privacy.k-anonymization.gt,7.0,7.0,7.0,0.0
privacy.k-anonymization.syn,1.00000001,6.00000001,3.4000000100000003,2.073644135332772
privacy.k-map.score,3.0,6.0,4.6,1.51657508881031
privacy.distinct l-diversity.gt,7.0,7.0,7.0,0.0
privacy.distinct l-diversity.syn,1.00000001,6.00000001,3.4000000100000003,2.073644135332772
privacy.identifiability_score.,0.26,0.41,0.326,0.05683308895353128
privacy.identifiability_score._privacy.identifiability_score.OC,0.31,0.45,0.38,0.057008771254956896
