,state_code,lat,lon,lat_zone,bird
2430,49.0,38.27,-81.66,2.0,6.0
1157,11.0,20.45,-155.76,1.0,4.0
1268,0.0,60.82,-158.99,0.0,8.0
133,5.0,37.64,-106.82,2.0,5.0
2359,0.0,63.72,-158.2,0.0,8.0
329,49.0,39.58,-80.31,2.0,6.0
1356,11.0,19.89,-155.11,1.0,4.0
2131,17.0,37.9,-87.3,2.0,6.0
2046,8.0,38.79,-75.37,2.0,1.0
1113,17.0,37.35,-83.76,2.0,6.0
39,32.0,35.49,-107.73,2.0,3.0
2194,32.0,35.1,-103.7,2.0,3.0
2407,8.0,39.24,-75.19,2.0,1.0
3176,44.0,39.98,-112.16,2.0,0.0
1604,49.0,38.18,-82.59,2.0,6.0
3017,8.0,39.01,-75.11,2.0,1.0
1053,16.0,39.83,-101.67,2.0,7.0
2343,44.0,39.2,-113.6,2.0,0.0
1612,16.0,38.85,-96.67,2.0,7.0
2452,49.0,38.7,-81.3,2.0,6.0
2138,8.0,38.9,-75.2,2.0,1.0
218,32.0,39.12,-106.45,2.0,2.0
1362,8.0,39.01,-75.88,2.0,1.0
263,5.0,39.45,-106.13,2.0,5.0
2933,0.0,64.89,-147.65,0.0,8.0
2413,16.0,38.92,-98.83,2.0,7.0
399,0.0,59.8,-153.9,2.0,8.0
2847,16.0,37.89,-96.78,2.0,7.0
3008,16.0,38.92,-97.34,2.0,7.0
1446,0.0,69.99,-151.54,0.0,8.0
2616,5.0,39.41,-104.78,2.0,5.0
1332,17.0,37.88,-84.05,2.0,6.0
102,32.0,34.87,-104.92,2.0,3.0
2266,5.0,39.0,-102.5,2.0,5.0
2877,44.0,38.61,-109.94,2.0,0.0
1262,0.0,64.83,-154.36,0.0,8.0
293,0.0,62.34,-157.65,0.0,8.0
2339,5.0,37.8,-103.2,2.0,5.0
2333,8.0,39.3,-75.3,2.0,1.0
59,17.0,37.34,-86.52,2.0,6.0
47,49.0,37.89,-81.34,2.0,6.0
2482,16.0,38.9,-99.1,2.0,7.0
2892,5.0,39.97,-107.71,2.0,5.0
2185,44.0,39.2,-109.8,2.0,0.0
1193,45.0,40.12,-110.67,2.0,0.0
1600,49.0,39.06,-78.93,2.0,6.0
1834,17.0,37.12,-88.89,2.0,6.0
2866,0.0,69.87,-153.45,0.0,8.0
2134,8.0,39.1,-75.7,2.0,1.0
964,44.0,37.91,-110.3,2.0,0.0
1925,32.0,34.1,-104.89,2.0,3.0
3014,11.0,19.45,-155.67,1.0,4.0
1554,32.0,34.11,-106.33,2.0,3.0
3160,49.0,39.4,-80.2,2.0,6.0
2442,49.0,38.42,-82.84,2.0,6.0
747,17.0,38.45,-85.12,2.0,6.0
1054,32.0,35.56,-103.34,2.0,3.0
640,17.0,38.85,-86.11,2.0,6.0
2385,5.0,38.7,-106.5,2.0,5.0
965,16.0,37.91,-95.93,2.0,7.0
2105,8.0,38.8,-74.9,2.0,1.0
1229,32.0,34.67,-104.32,2.0,3.0
1295,8.0,38.71,-75.15,2.0,1.0
2647,49.0,38.66,-80.78,2.0,6.0
2787,17.0,37.23,-84.78,2.0,6.0
58,11.0,20.65,-156.34,1.0,4.0
368,5.0,37.9,-106.5,2.0,5.0
909,8.0,38.72,-75.33,2.0,1.0
1392,17.0,38.45,-84.89,2.0,6.0
834,16.0,37.88,-98.48,2.0,7.0
252,8.0,39.12,-75.98,2.0,1.0
1249,0.0,65.74,-154.42,0.0,8.0
3161,5.0,40.3,-102.4,2.0,5.0
1023,0.0,67.78,-158.22,0.0,8.0
756,0.0,63.45,-142.12,0.0,8.0
1518,5.0,39.56,-103.11,2.0,5.0
3124,44.0,37.78,-112.89,2.0,0.0
1974,8.0,39.0,-75.9,2.0,1.0
1461,0.0,60.0,-144.5,0.0,8.0
517,17.0,36.98,-84.17,2.0,6.0
2990,0.0,63.45,-158.98,0.0,8.0
2871,11.0,20.34,-155.89,1.0,4.0
248,44.0,37.34,-114.56,2.0,0.0
2345,32.0,36.6,-108.9,2.0,3.0
833,11.0,21.58,-157.86,1.0,4.0
1551,49.0,39.4,-80.01,2.0,6.0
3,8.0,38.92,-75.37,2.0,1.0
2840,0.0,60.23,-155.98,2.0,8.0
1114,0.0,63.88,-148.02,0.0,8.0
2448,16.0,39.5,-97.6,2.0,7.0
2143,0.0,67.4,-147.8,0.0,8.0
2930,44.0,37.45,-110.56,2.0,0.0
2956,11.0,19.89,-155.43,1.0,4.0
1005,44.0,39.12,-112.45,2.0,0.0
2275,16.0,38.15,-98.73,2.0,7.0
115,8.0,39.26,-75.38,2.0,1.0
1827,32.0,43.34,-74.12,2.0,2.0
884,0.0,68.8,-154.18,0.0,8.0
3254,49.0,39.91,-80.12,2.0,6.0
135,32.0,43.76,-74.12,2.0,2.0
