,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.07597877748862732,0.14151231887798116,0.10261328974336918,0.024887080822950824
sanity.close_values_probability.score,0.79,0.94,0.883,0.056964901474504434
sanity.distant_values_probability.score,0.005,0.01,0.006,0.00223606797749979
stats.jensenshannon_dist.marginal,0.00919813934469419,0.013086008137081556,0.01054086889046165,0.001520893667669798
stats.chi_squared_test.marginal,0.7980265407672402,0.7995812280045155,0.7987192519076339,0.000702015898917126
stats.inv_kl_divergence.marginal,0.9151157063299591,0.9442264668263451,0.9280472073933466,0.013733161719385486
stats.ks_test.marginal,0.8959999999999999,0.9400000000000001,0.9162000000000001,0.016452963258939152
stats.max_mean_discrepancy.joint,0.013006167652761719,0.020230582462592607,0.015594109499808714,0.0027388920922796103
stats.wasserstein_dist.joint,0.7354870719694597,0.7448498010193452,0.7386692352865261,0.003938260946001179
stats.alpha_precision.delta_precision_alpha_OC,0.7465977011494253,0.9379310344827586,0.8348873563218391,0.0723108383241857
stats.alpha_precision.delta_coverage_beta_OC,0.4126666666666666,0.5305977011494252,0.48425287356321844,0.04358237227906181
stats.alpha_precision.authenticity_OC,0.44,0.58,0.516,0.058566201857385286
stats.alpha_precision.delta_precision_alpha_naive,0.7466666666666667,0.8086666666666666,0.7709425287356322,0.024795818330621045
stats.alpha_precision.delta_coverage_beta_naive,0.3493333333333335,0.5571264367816093,0.4159586206896552,0.08111890507440508
stats.alpha_precision.authenticity_naive,0.46,0.61,0.538,0.05449770637375484
stats.prdc.precision,0.95,0.99,0.97,0.01581138830084191
stats.prdc.recall,0.96,0.995,0.978,0.014404860290887946
stats.prdc.density,0.9420000000000001,1.072,1.0148,0.04959032163638385
stats.prdc.coverage,0.795,0.875,0.8460000000000001,0.040062451248020235
performance.linear_model.gt,0.999984375,0.999984375,0.999984375,0.0
performance.linear_model.syn_id,0.9975224609375001,0.999927734375,0.9987222656250001,0.0010005988711985281
performance.linear_model.syn_ood,0.9975781250000001,0.9998750000000001,0.9987187500000001,0.0009531890347342127
performance.mlp.gt,0.47783203125,0.47783203125,0.47783203125,0.0
performance.mlp.syn_id,0.41942138671875,0.4993896484375,0.45568359375,0.029741875643105986
performance.mlp.syn_ood,0.44507812500000005,0.5113671875,0.4748046875000001,0.023796437690909594
performance.xgb.gt,0.999421875,0.999421875,0.999421875,0.0
performance.xgb.syn_id,0.975125,0.9997275390624999,0.9927240234374999,0.010182452551049534
performance.xgb.syn_ood,0.975921875,0.999578125,0.9927562499999999,0.009771570690016985
performance.feat_rank_distance.corr,0.3693108368648666,0.6266159783921341,0.5113019688726472,0.0967166479285519
performance.feat_rank_distance.pvalue,6.717562686846287e-66,6.658888258095846e-24,1.331777651619186e-24,2.977945359935486e-24
detection.detection_xgb.mean,0.4365,0.57475,0.50245,0.05073811437174227
detection.detection_mlp.mean,0.43025,0.51075,0.45585000000000003,0.031594773104106966
detection.detection_gmm.mean,0.49074999999999996,0.5122500000000001,0.501025,0.008439305362409926
detection.detection_linear.mean,0.40049999999999997,0.5429999999999999,0.48014999999999997,0.05396225532721923
privacy.delta-presence.score,3.9999999920000002,11.999999880000003,7.999999942400001,3.162277621588593
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,5.00000001,3.4000000100000003,1.816590212458495
privacy.k-map.score,1.0,2.0,1.4,0.5477225575051661
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,5.00000001,3.4000000100000003,1.816590212458495
privacy.identifiability_score.,0.27,0.33,0.314,0.02534758371127315
privacy.identifiability_score._privacy.identifiability_score.OC,0.315,0.34,0.327,0.011510864433221349
